"";"x"
"874";809
"875";383
"876";481
"877";387
"878";2218
"879";941
"880";942
"881";343
"882";2
"883";2
"884";2
"885";9
"886";167
"887";487
"888";263
"889";263
"890";2
"891";28
"892";200
"893";200
"894";28
"895";40
"896";241
"897";241
"898";241
"899";488
"900";2005
"901";1845
"902";2006
"903";489
"904";943
"905";320
"906";321
"907";12
"908";355
"909";355
"910";944
"911";388
"912";900
"913";126
"914";15
"915";451
"916";304
"917";304
"918";2007
"919";50
"920";50
"921";50
"922";50
"923";2
"924";945
"925";786
"926";2008
"927";13
"928";34
"929";34
"930";12
"931";12
"932";2150
"933";12
"934";9
"935";143
"936";12
"937";12
"938";38
"939";653
"940";137
"941";137
"942";12
"943";12
"944";1349
"945";1350
"946";1959
"947";1964
"948";798
"949";41
"950";946
"951";668
"952";694
"953";1934
"954";490
"955";490
"956";2070
"957";2071
"958";187
"959";188
"960";12
"961";12
"962";1935
"963";2183
"964";389
"965";389
"966";2009
"967";844
"968";1936
"969";947
"970";118
"971";127
"972";118
"973";156
"974";156
"975";105
"976";191
"977";105
"978";105
"979";1960
"980";143
"981";143
"982";2
"983";948
"984";2097
"985";2098
"986";60
"987";1980
"988";782
"989";224
"990";224
"991";1880
"992";105
"993";191
"994";1981
"995";116
"996";1881
"997";787
"998";793
"999";1846
"1000";794
"1001";149
"1002";1937
"1003";83
"1004";322
"1005";201
"1006";201
"1007";201
"1008";201
"1009";1938
"1010";168
"1011";168
"1012";2151
"1013";1882
"1014";41
"1015";390
"1016";2035
"1017";391
"1018";391
"1019";323
"1020";1847
"1021";1848
"1022";748
"1023";2010
"1024";205
"1025";184
"1026";695
"1027";2062
"1028";2192
"1029";882
"1030";2048
"1031";1939
"1032";75
"1033";71
"1034";66
"1035";1940
"1036";256
"1037";72
"1038";2220
"1039";27
"1040";864
"1041";1849
"1042";19
"1043";56
"1044";2215
"1045";71
"1046";2063
"1047";2
"1048";2
"1049";1
"1050";949
"1051";654
"1052";13
"1053";125
"1054";2072
"1055";1941
"1056";1850
"1057";113
