id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
1455,3,harper collins publishers;;harpercollins publishers;;harpercollinspublishers,harper collins publishers;;harpercollins publishers;;harpercollinspublishers,0--606;1--4806;0--567;0--8085;0--380;1--4301;1--4408;1--5490;0--670;1--5182;0--06;1--4420;1--4352;93--5177;1--84792;1--4242;1--4844;0--00,1990,2019,60,7,7,832,832,4,5
1456,1,harper colophon books,harper colophon books,0--06,1976,1985,3,7,7,832,832,4,8
1457,1,harper design,harper design,0--06,2019,2019,1,7,7,832,832,4,8
1458,2,harper festival;;harperfestival,harper festival;;harperfestival,1--4806;0--06;1--4844,2015,2015,2,7,7,832,832,17,5
1459,2,harper one;;harperone,harper one;;harperone,0--06,1988,2019,5,7,7,832,832,4,8
1460,2,harper paperbacks;;harperpaperbacks,harper paperbacks;;harperpaperbacks,0--606;0--06,1990,2010,7,7,7,832,832,31,8
1461,2,harper perennial;;harperperennial,harper perennial;;harperperennial,0--06;93--5177;0--00,1991,2016,13,7,7,832,832,4,27
1462,2,harper teen;;harperteen,harper teen;;harperteen,0--329;0--06,2008,2018,6,7,7,1274,1274,26,18
1464,1,harper torchbooks,harper torchbooks,0--313,1965,1965,1,7,7,832,832,150,55
1465,1,harper voyager,harper voyager,0--06,2011,2015,2,7,7,832,832,4,8
1466,1,harper wave,harper wave,0--06,2017,2017,1,7,7,832,832,4,8
1469,1,harpercollins children's books,harpercollins children's books,0--06;0--00,2013,2018,7,7,7,832,832,35,27
1470,1,harpercollins e books,harpercollins e books,0--06,2010,2010,1,7,7,832,832,4,8
1471,2,harpercollins publisher;;harpercollinspublisher,harpercollins publisher;;harpercollinspublisher,0--06;0--00,2014,2018,2,7,7,832,832,35,27
1473,1,harpercollinspublsihers,harpercollinspublsihers,0--06,2017,2017,1,7,7,832,832,4,8
1474,1,harperelixir,harperelixir,0--06,2017,2017,1,7,7,832,832,4,8
1475,1,harperimpulse,harperimpulse,0--00,2014,2014,1,7,7,832,832,35,27
1476,1,harperluxe,harperluxe,0--06,2010,2016,3,7,7,832,832,4,8
1477,1,harperteen amistad,harperteen amistad,0--605;0--06;0--613,2008,2008,1,7,7,1274,1274,17,5
1478,1,harpertorch,harpertorch,0--380,2000,2000,1,7,7,832,832,4,8
1479,1,harpertrophy,harpertrophy,0--8085;0--8479;0--06;0--380,1955,2007,11,7,7,832,832,4,8
1480,1,harpertrophy a registered trademark of harpercollins publishers inc,harpertrophy a registered trademark of harpercollins publishers inc,1--4287;0--06;0--329;1--4395;0--439,2000,2000,1,7,7,1274,1274,26,18
