"id","length","text","isbn_new","year_min","year_max","record","group"
154,1,"amicus publishing","1--60753","2015","2015",1,265
155,1,"amirsys","0--323","2015","2015",1,8
156,1,"ammo","1--62326","2011","2014",2,863
157,1,"amon carter museum of american art","0--300","2014","2014",1,40
158,1,"ampersand inc","0--9962525","2016","2016",1,859
159,1,"amplify","1--947002","2018","2018",1,847
160,1,"ams press","0--404","1971","1988",3,842
161,1,"amulet books","1--4197","2011","2018",3,151
162,1,"anchor books","0--385;0--345;0--307;0--679","1971","2008",7,16
163,1,"anchor press","0--9658392","1997","1997",1,806
164,1,"and c black","0--393;0--7136","1990","1990",1,118
165,1,"andalus publishing","0--9910476","2014","2014",1,768
166,1,"andersen press","1--84939;1--78344;0--86264","1977","2015",3,214
167,1,"andrews mcmeel publishing","1--4494;1--4156;0--7407","2005","2018",5,122
168,1,"andrews uk","1--84540","2011","2011",1,707
169,1,"angle valley press","0--9711950","2006","2006",1,700
170,1,"anglican consultative council","1--911007","2018","2018",1,692
171,1,"animal media group llc","0--9861489","2016","2016",1,1263
172,1,"anita m. caspary trust","0--615","2012","2012",1,177
173,1,"ann arbor science publishers","0--250","1975","1975",1,660
174,1,"annick press","1--55451","2013","2013",1,647
175,1,"anthem press","1--78308","2015","2017",2,373
176,1,"antique collectors' club","0--902028","1985","1985",1,625
177,1,"antrim house","1--936482","2015","2015",1,614
178,1,"apa publications","0--7495;981--234","1996","2002",2,368
179,1,"apha press","0--87553","2013","2013",1,587
180,1,"apollo publishers","1--948062","2018","2018",1,579
181,1,"applause theatre and cinema books","1--4950","2017","2017",1,573
182,1,"apple","1--84543","2014","2014",1,562
183,1,"apple academic press","1--4665;1--315;1--77188","2015","2019",5,10
184,1,"apple academic press inc","1--4822;1--926895;1--77188","2014","2015",4,10
185,1,"apress","1--4302;1--4842","2009","2018",8,229
186,1,"arbor house","0--87795;0--575","1975","1986",3,4
187,2,"arcade pub;;arcade publishing","1--55970;1--62872","2001","2015",3,434
188,1,"arcadia publishing","1--4671","2013","2015",3,159
189,1,"archaeopress","1--4073","2013","2015",3,365
190,1,"archaeopress publishing ltd","1--78491","2017","2017",2,1862
191,1,"archdiocese","1--879035","1991","1991",1,1850
192,1,"archie comic publications inc","1--68255","2017","2017",1,1841
193,1,"archon books","0--208","1969","1970",2,1824
194,1,"archway","0--671","1992","1992",1,26
195,1,"arco pub. co","0--668","1973","1977",3,1804
196,1,"arcturus publishing","0--19;1--84193","2011","2011",1,88
197,1,"arcturus publishing limited","1--78404","2015","2015",1,1818
198,1,"ardis","0--88233","1977","1977",1,1760
199,1,"arizona center for medieval and renaissance studies","2--503;0--86698","2012","2012",1,438
200,1,"armchair detetive library","1--56287","1987","1987",1,1730
201,1,"arno press","0--405","1970","1978",5,1719
202,1,"aros kunstmuseum aarhus","3--86335","2013","2013",1,1715
203,1,"arrow","0--09","2009","2013",2,23
204,1,"arrow books","0--09","1985","1988",2,23
205,1,"art direction book co","0--910158","1985","1985",1,1701
206,1,"art of medicine press inc","0--9740635","2012","2012",1,1700
207,1,"arte público press","0--934770","1982","1982",1,1693
208,1,"artech house","1--60807;1--63081","2014","2016",2,442
209,1,"arthur a. levine books","0--545","2014","2014",1,16
210,1,"arthurscooke publishers","0--9954827","2016","2016",1,1671
211,1,"artiqua press","0--9835723","2014","2014",1,1667
212,1,"ascd","1--4166","2014","2016",2,1659
213,1,"asce press","0--7277","1997","1997",1,331
214,1,"ashgate","1--282;1--4724;1--306;1--322;1--4094;1--85928;0--7546","1998","2015",35,10
215,1,"ashgate publishing company","1--4724","2014","2015",2,10
216,1,"ashgate publishing group","1--4724","2014","2014",1,10
217,1,"ashgate publishing limited","1--4724","2015","2015",1,10
218,1,"asm international","0--87170","1992","2010",2,1586
219,1,"asm press","1--68367","2019","2019",1,1583
220,1,"asme","0--7918","2014","2014",1,1568
221,1,"aspen publishers","0--87189","1989","1989",1,1565
222,1,"asq quality press","0--87389","2004","2010",2,1553
223,1,"asqc-quality press","0--930011","1992","1992",1,1545
224,1,"association","0--942920","1984","1984",1,1534
225,1,"association for computing machinery","1--61738;1--58113;0--201;1--4503","1993","2017",4,12
226,1,"association for consumer research","0--915552","1980","1980",1,1514
227,1,"association for intelligent machinery","0--9707890","2002","2002",1,1509
228,1,"association for the advancement of medical instrumentation","1--57020","2006","2006",1,1489
229,1,"association of research libraries","1--59407","2013","2015",2,1483
230,1,"assouline","1--61428;2--84323","2013","2016",3,355
231,1,"aston publications","0--946627","1988","1988",1,1458
232,1,"astraea press llc","1--62135","2014","2014",1,1448
233,1,"at the university press","1--107","2013","2013",1,11
234,1,"atd press","1--60728","2015","2015",1,1431
235,1,"athenaeum books for young readers","1--4814","2018","2018",1,16
236,1,"atheneum","0--689","1966","1989",3,16
237,1,"atheneum books for young readers","1--4169;0--689;1--4424;1--4814;0--8335","1988","2017",4,16
238,1,"atlantic books","0--85789","2008","2008",1,1380
239,1,"atlantic council","1--61977","2016","2016",1,1371
240,1,"atlantic monthly press","0--87113;0--8021","2002","2019",2,27
241,1,"atlantic publishing group inc","1--60138","2011","2011",2,1346
242,1,"atria books","0--7432;1--9821;1--4391;1--4767;1--5011","2006","2019",8,26
243,1,"atria paperback","1--4767","2015","2015",1,26
244,1,"atwords press","0--9897773","2013","2013",1,1289
245,1,"audio engineering society","1--5108","2015","2015",1,11
246,1,"audiocraft publishing","1--893699","2001","2001",1,1329
247,1,"audiogo","1--4458","2011","2011",2,33
248,1,"audiogo ltd","1--4458","2011","2011",1,33
249,1,"augmented fifth","0--9566452","2014","2014",1,1268
250,1,"australasian corrosion association","1--63439","2014","2014",1,1264
251,1,"australian centre for international agricultural research (aciar)","1--921962","2013","2013",1,1254
252,1,"australian institute of health and welfare","1--76054","2017","2017",1,1252
253,1,"australian national audit office","1--76033","2015","2015",2,1234
254,1,"australian national university press","1--76046","2016","2016",1,1228
255,1,"authentic","1--85078","2011","2011",1,1224
256,1,"author solutions llc","1--9845","2018","2018",1,190
257,1,"authorhouse","1--4259;1--4772;1--4918;1--4817","2005","2015",6,14
258,1,"av2 by weigl","1--4898;1--62127;1--4896","2014","2017",8,54
259,1,"avalon travel","1--61238;1--59880","2009","2014",3,1173
260,1,"avery color studios","0--932212","1995","1995",1,1161
261,1,"avery color studios inc","1--892384","2013","2013",1,1155
262,1,"aviation supplies and academics","1--56027","2002","2002",1,1156
263,1,"aviation supplies and academics inc","1--61954","2014","2014",1,16
264,1,"avon","0--380;0--606","1969","1987",4,16
265,1,"avon books","0--380;0--06","1974","2012",18,16
266,1,"avon eos","0--380","1999","1999",1,14
267,2,"av²  by weigl;;av² by weigl","1--4896","2015","2017",5,110
268,1,"award publications limited","1--84135","2011","2011",1,1113
269,1,"axzo press","1--4260","2011","2011",1,1105
270,1,"ayurvedic press","1--883725","2016","2016",1,1106
271,1,"b and b publishing","1--885813","1993","1993",1,195
272,1,"b and h academic","1--4336","2015","2015",1,172
273,2,"b. blackwell;;basil blackwell","0--631;1--55786","1990","1990",2,1081
274,1,"b.a.r.","0--86054","1983","1983",1,108
275,1,"b.t. batsford","0--7134","1980","1980",1,108
276,1,"b.t. batsford ltd","0--7134","1977","1977",1,1063
277,1,"backbeat books","0--87930","2005","2005",1,16
278,1,"backpack books","0--7607","2004","2004",1,16
279,1,"backpack books inc","0--7607","2007","2007",1,177
280,1,"bad sign publishing","0--615","2013","2013",1,26
281,1,"baen","0--7434","2005","2005",1,26
282,1,"baen publishing enterprises","0--671","1986","1986",1,184
283,1,"baker academic","0--8010","2010","2010",1,184
