"id","isbn"
1861,"1--68247"
1862,"1--61291"
1863,"1--59005"
1864,"1--68112"
1865,"0--940884"
1866,"0--8371"
1867,"0--17"
1868,"1--60009"
1869,"1--5142"
1870,"0--9828061"
1871,"1--78183"
1871,"1--5231"
1872,"0--07"
1872,"0--451"
1872,"1--322"
1872,"0--452"
1873,"0--941533"
1874,"1--84566"
1874,"1--85348"
1875,"0--8112"
1876,"0--8112"
1877,"0--8112"
1878,"1--5120"
1879,"0--450"
1880,"1--58107"
1881,"1--60882"
1881,"1--62625"
1882,"1--86966"
1883,"1--84840"
1884,"0--89016"
1885,"0--9881711"
1886,"0--89494"
1887,"1--59558"
1888,"0--7357"
1888,"0--321"
1889,"0--89823"
1890,"1--874367"
1891,"0--471"
1891,"1--4725"
1892,"0--7352"
1893,"1--68137"
1894,"1--4798"
1895,"0--8147"
1895,"1--4798"
1896,"1--56784"
1897,"1--58273"
1898,"0--7171"
1899,"1--7190"
1900,"1--85459"
1900,"1--84842"
1901,"1--61263"
1901,"1--68107"
1902,"1--933449"
1903,"0--9661105"
1904,"1--936828"
1905,"1--4133"
1906,"0--944508"
1906,"0--917316"
1906,"0--87337"
1907,"1--5099"
1907,"3--8487"
1908,"0--374"
1909,"1--5168"
1910,"0--9772714"
1911,"0--938190"
1911,"1--55643"
1911,"1--58394"
1912,"0--89134"
1913,"1--78690"
1914,"0--393"
1914,"0--7358"
1915,"0--7463"
1915,"1--78694"
1916,"0--930350"
1917,"0--87358"
1918,"0--8101"
1919,"0--89002"
1920,"0--942802"
1921,"0--393"
1922,"1--59953"
1923,"1--5362"
1923,"0--85763"
1924,"1--907903"
1925,"1--84899"
1926,"1--63117"
1926,"1--63463"
1927,"1--63482"
1927,"1--62417"
1927,"1--63117"
1927,"1--63485"
1927,"1--63321"
1927,"1--5361"
1927,"1--63463"
1928,"1--63117"
1929,"1--63485"
1930,"1--62081"
1931,"1--5361"
1931,"1--61122"
1931,"1--62618"
1931,"0--941743"
1932,"1--63482"
1932,"1--62417"
1932,"1--63485"
1932,"1--63321"
1932,"1--5361"
1932,"1--63463"
1933,"1--63482"
1933,"1--62948"
1933,"1--63485"
1933,"1--63321"
1933,"1--5361"
1933,"1--63463"
1934,"1--60198"
1935,"0--8155"
1936,"0--8442"
1937,"0--8442"
1938,"1--59547"
1939,"1--68137"
1940,"0--7825"
1941,"1--78099"
1941,"1--78535"
1942,"1--84717"
1943,"0--9831244"
1944,"1--5114"
1945,"1--306"
1945,"1--4493"
1945,"0--596"
1946,"0--937175"
1947,"1--4920"
1947,"1--4919"
1948,"1--4919"
1949,"90--6194"
1949,"1--58456"
1950,"0--85735"
1950,"1--78112"
1951,"1--78319"
1951,"1--78682"
1952,"0--451"
1953,"0--943734"
1954,"0--379"
1955,"0--374"
1956,"0--88254"
1956,"0--374"
1957,"0--7064"
1958,"0--7064"
1959,"1--938895"
1960,"1--61220"
1961,"0--942148"
1962,"0--8142"
1963,"0--8214"
1964,"1--5467"
1965,"0--9976809"
1966,"1--7323065"
1967,"0--9740599"
1968,"1--55035"
1969,"0--9844207"
1970,"1--4619"
1970,"1--935864"
1971,"1--78074"
1971,"1--78607"
1971,"1--85168"
1972,"1--78607"
1972,"1--85168"
1973,"0--906500"
1974,"0--451"
1975,"0--451"
1976,"1--78374"
1977,"0--8126"
1978,"0--87548"
1979,"1--4804"
1979,"1--4532"
1979,"1--4976"
1980,"1--4976"
1981,"1--55752"
1982,"1--939710"
1983,"0--356"
1983,"0--316"
1984,"1--55143"
1984,"1--55469"
1984,"1--4598"
1985,"1--4566"
1986,"1--84121"
1987,"0--531"
1987,"1--4083"
1988,"0--9791314"
1989,"1--61491"
1990,"1--935150"
1991,"0--9554134"
1991,"1--908024"
1992,"0--7528"
1992,"1--85798"
1993,"1--5101"
1993,"1--4440"
1994,"1--941806"
1995,"0--85045"
1996,"1--4728"
1997,"1--85532"
1997,"1--4728"
1998,"1--908276"
1999,"1--910303"
2000,"0--9718801"
2001,"1--4327"
2002,"1--78570"
2002,"1--78297"
2002,"1--84217"
2003,"0--19"
2004,"0--19"
2005,"1--4294"
2005,"1--281"
2005,"0--444"
2005,"0--7221"
2005,"4--89358"
2005,"0--19"
2006,"1--136"
2007,"0--8487"
2008,"1--59638"
2009,"0--86003"
2009,"0--312"
2010,"0--87226"
2011,"3--0343"
2011,"1--78707"
2011,"0--8204"
2011,"1--4331"
2012,"0--85059"
2013,"0--615"
2014,"1--78588"
2015,"1--84969"
2015,"1--78328"
2015,"0--203"
2015,"1--78528"
2015,"1--78398"
2015,"1--299"
2015,"1--78439"
2015,"1--78217"
2015,"1--78355"
2016,"1--84969"
2017,"1--62838"
2017,"1--64138"
2018,"1--62414"
2019,"0--7653"
2020,"1--137"
2021,"1--137"
2022,"1--349"
2022,"1--306"
2022,"1--322"
2022,"1--137"
2022,"1--299"
2022,"3--319"
2022,"0--230"
2022,"1--4039"
2023,"1--4633"
2023,"1--5065"
2024,"1--5439"
2025,"0--330"
2025,"1--925481"
2026,"0--330"
2026,"1--5098"
2027,"981--4411"
2028,"0--9926582"
2029,"1--84653"
2030,"1--7320607"
2031,"0--394"
2032,"1--59707"
2032,"1--62991"
2033,"0--7701"
2034,"0--698"
2035,"1--59451"
2036,"0--399"
2037,"1--55778"
2038,"85--93600"
2039,"1--62055"
2040,"0--13"
2041,"1--78160"
2042,"1--4752"
2043,"1--4748"
2043,"1--4075"
2043,"1--4723"
2043,"1--4054"
2043,"1--5270"
2043,"1--78186"
2044,"1--4748"
2044,"1--4723"
2045,"0--7525"
2046,"1--4054"
2046,"0--7525"
2047,"0--940813"
2048,"0--692"
2049,"0--578"
2050,"1--939221"
2051,"0--87348"
2052,"0--87348"
2053,"0--9555415"
2054,"1--59857"
2055,"0--9672259"
2056,"0--9674086"
2057,"0--8198"
2058,"0--8091"
2059,"0--9846724"
2060,"0--321"
2060,"0--13"
2061,"0--557"
2062,"0--89716"
2063,"0--321"
2063,"1--292"
2063,"0--273"
2063,"0--13"
2064,"0--536"
2065,"0--13"
2065,"0--7897"
2065,"0--582"
2065,"0--321"
2065,"1--4082"
2066,"0--321"
2066,"0--13"
2067,"1--292"
2068,"1--256"
2068,"1--269"
2069,"1--84523"
2070,"2--7584"
2070,"90--429"
2071,"1--60598"
2071,"1--68177"
2072,"0--14"
2073,"1--4556"
2073,"0--88289"
2074,"1--4738"
2075,"1--4738"
2076,"0--87574"
2077,"1--5236"
2078,"0--14"
2079,"0--451"
2079,"0--14"
2079,"0--441"
2080,"1--59420"
2080,"1--101"
2080,"0--241"
2080,"1--4059"
2080,"0--14"
2081,"0--14"
2082,"0--14"
2083,"0--451"
2083,"0--14"
2083,"1--4242"
2083,"0--425"
2084,"1--9848"
2085,"0--14"
2086,"0--7352"
2087,"0--8041"
2088,"1--58567"
2088,"1--84159"
2089,"0--271"
2090,"0--7273"
2091,"1--60795"
2092,"0--06"
2092,"0--688"
2093,"0--06"
2094,"0--06"
2095,"1--935797"
2096,"1--78099"
2097,"0--89598"
2098,"0--578"
2099,"0--08"
2100,"1--4832"
2100,"1--4831"
2100,"0--08"
2101,"1--4832"
2101,"1--4831"
2102,"0--399"
2102,"0--448"
2103,"0--399"
2104,"962--593"
2105,"1--85964"
2106,"0--605"
2107,"1--57962"
2108,"0--7382"
2109,"1--56474"
2110,"0--9641080"
2111,"0--646"
2112,"3--631"
2113,"1--4331"
2114,"0--88088"
2115,"0--88132"
2116,"0--7689"
2116,"1--56079"
2117,"0--937997"
2118,"0--7148"
2119,"0--7148"
2120,"0--7148"
2121,"0--935603"
2122,"1--84819"
2123,"0--271"
2123,"0--300"
2123,"0--87633"
2124,"1--4441"
2125,"1--85799"
2125,"1--4091"
2126,"1--5037"
2127,"1--936429"
