id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-pre-unweighted-nimp,walktrap-pre-unweighted-imp,louvain-pre-unweighted-nimp,louvain-pre-unweighted-imp,infomap-pre-unweighted-nimp,infomap-pre-unweighted-imp
3405,1,tsr inc,tsr inc,0--88038;0--317;0--394,1986,1986,1,195,195,524,524,365,365
3538,1,verso,verso,0--09;1--78663;1--78168;1--78478,1991,2018,8,234,234,524,524,358,357
3549,1,viking penguin a member of penguin group usa llc,viking penguin a member of penguin group usa llc,0--525,2014,2014,1,4,4,524,524,131,193
3551,1,villard books,villard books,0--679,1993,1993,1,4,4,524,524,7,7
3553,1,vintage,vintage,0--525;0--307;0--09;0--394;0--224;1--4000;1--101;1--78470,1988,2017,10,4,4,524,524,202,202
3554,1,vintage books,vintage books,0--307;0--09;0--394;0--375,1972,2015,16,4,4,524,524,7,7
3555,1,vintage books knopf doubleday publishing group,vintage books knopf doubleday publishing group,1--101,2016,2016,1,4,4,524,524,108,79
3556,1,vintage crime black lizard,vintage crime black lizard,1--101;0--8041,2015,2017,2,4,4,524,524,101,100
3565,1,vision,vision,0--446,2010,2010,1,4,4,524,524,56,58
3613,1,warner,warner,0--446,1996,1996,1,4,4,524,524,56,58
3614,1,warner books,warner books,0--7394;0--7088;0--446;0--7515;0--88103,1962,2005,15,4,4,524,524,56,58
3615,1,warner faith,warner faith,0--446,2003,2003,1,4,4,524,524,56,58
3644,1,western,western,0--307,1991,1991,1,4,4,524,524,64,65
3646,1,western pub co,western pub co,0--307,1974,1996,2,4,4,524,524,64,65
3663,1,whitechapel gallery,whitechapel gallery,0--262;0--85488,2015,2015,1,108,108,524,524,160,156
3698,1,windmill books,windmill books,1--4994;1--61533;1--4777,2012,2017,3,15,15,524,524,125,124
3702,1,wings books,wings books,0--517,1988,1988,1,4,4,524,524,44,43
3727,1,world bank,world bank,0--585;0--8213;1--4648,1996,2014,9,38,38,524,524,83,82
3728,1,world bank group,world bank group,92--870;1--4648,2015,2017,3,38,38,524,524,83,82
3729,1,world bank publications,world bank publications,1--4648,2014,2014,1,38,38,524,524,83,82
3761,1,yearling,yearling,0--440,2003,2007,2,4,4,524,524,11,10
3784,1,zkm center for art and media,zkm center for art and media,0--262,2013,2013,1,108,108,524,524,160,156
886,1,crowood,crowood,1--84797,2013,2013,1,1522,1522,525,525,846,897
887,1,cuba solidarity campaign,cuba solidarity campaign,0--9521779,2000,2000,1,1517,1517,526,526,906,2106
890,1,curbside splendor publishing inc,curbside splendor publishing inc,1--940430,2014,2014,1,1511,1511,527,527,1351,898
893,1,curriculum associates,curriculum associates,0--7609;1--4957,2016,2016,1,405,405,528,528,393,397
895,1,cyberage books,cyberage books,0--910965,2005,2005,1,1505,1505,529,529,907,899
896,1,cynthia fabian,cynthia fabian,1--9838,2018,2018,1,1504,1504,530,530,2073,1391
903,1,d reidel,d reidel,90--277,1984,1984,1,488,488,531,531,502,510
2858,1,reidel,reidel,90--277,1980,1980,1,488,488,531,531,502,510
904,1,d s brewer,d s brewer,1--84384;1--78744,2004,2018,5,169,169,532,532,266,280
905,1,d s brewer for peterhouse cambridge,d s brewer for peterhouse cambridge,1--84384,2016,2016,1,169,169,532,532,266,280
908,1,da capo life long,da capo life long,0--7382,2004,2018,2,232,232,533,533,165,162
909,1,da capo life long a member of the perseus books group,da capo life long a member of the perseus books group,0--7382,2014,2014,1,232,232,533,533,165,162
910,1,da capo lifelong,da capo lifelong,0--7382,2017,2017,1,232,232,533,533,165,162
2617,1,perseus,perseus,0--7382,2001,2001,1,232,232,533,533,165,162
2619,1,perseus publishing,perseus publishing,0--7382,2001,2001,1,232,232,533,533,165,162
913,1,dales,dales,1--84262,2004,2004,1,83,83,534,534,208,207
914,1,dales large print,dales large print,1--85389,1989,1989,1,83,83,534,534,208,207
915,1,dales large print books,dales large print books,1--85389;1--84262,1976,1997,2,83,83,534,534,208,207
916,1,dalkey archive press,dalkey archive press,1--62897;1--56478,1999,2018,3,343,343,535,535,394,398
917,1,dalmatian press,dalmatian press,1--4530,2013,2013,1,1457,1457,536,536,690,900
918,1,dargaud,dargaud,2--205,1984,2015,3,1454,1454,537,537,1986,1890
919,1,dargaud pub international,dargaud pub international,0--917201,1995,1995,1,1453,1453,538,538,758,2107
920,1,dark horse books,dark horse books,1--61655;1--59307,2004,2014,2,413,413,539,539,395,511
921,1,darton longman and todd,darton longman and todd,0--232,2015,2015,1,1450,1450,540,540,908,2154
922,1,dave burgess consulting inc,dave burgess consulting inc,0--9969896;0--9882176;0--9969895,2015,2018,3,276,276,541,541,317,300
923,1,david c cook,david c cook,0--912692;0--7814;1--4347,1972,2018,4,256,256,542,542,297,322
927,1,david smith llc,david smith llc,1--988631,2016,2016,1,1437,1437,543,543,2074,2148
928,1,david zwirner books,david zwirner books,1--941701;3--86930,2015,2018,2,508,508,544,544,396,512
929,1,daw books,daw books,0--88677,1988,1988,1,1444,1444,545,545,2118,1891
932,1,day books,day books,0--8128,1981,1981,1,369,369,546,546,503,513
3205,1,stein and day,stein and day,0--8128,1977,1985,4,369,369,546,546,503,513
933,1,dc comics,dc comics,1--4012,2004,2017,4,269,269,547,547,318,301
934,1,dc comics vertigo,dc comics vertigo,1--4012,2010,2010,1,269,269,547,547,318,301
3542,1,vertigo is a trademark of dc comics,vertigo is a trademark of dc comics,1--4012,2007,2007,1,269,269,547,547,318,301
935,1,ddl books,ddl books,0--929500,1993,1993,1,1419,1419,548,548,2201,1892
95,1,akademie verlag,akademie verlag,3--11,2014,2014,1,113,113,549,549,46,46
936,1,de gruyter,de gruyter,3--11;1--5015;3--0346;1--61451,2006,2018,24,113,113,549,549,46,46
937,1,de gruyter mouton,de gruyter mouton,1--61451;1--5015;3--11,2015,2017,3,113,113,549,549,46,46
938,1,de gruyter oldenbourg,de gruyter oldenbourg,3--11,2017,2018,2,113,113,549,549,46,46
939,1,de gruyter saur,de gruyter saur,3--11,2014,2014,1,113,113,549,549,46,46
2264,1,mouton de gruyter,mouton de gruyter,3--11;1--61451,2005,2015,2,113,113,549,549,46,46
2265,1,mouton publishers,mouton publishers,3--11,1975,1975,1,113,113,549,549,46,46
3581,1,w de gruyter,w de gruyter,3--11,2003,2009,5,113,113,549,549,46,46
3606,1,walter de gruyter,walter de gruyter,3--11,1975,2004,2,113,113,549,549,46,46
3607,1,walter de gruyter gmbh,walter de gruyter gmbh,3--11,2014,2018,2,113,113,549,549,46,46
941,1,decisionhealth,decisionhealth,1--62202,2017,2017,1,2089,2089,550,550,1987,2075
942,1,dedalus press,dedalus press,1--910251,2015,2015,1,1389,1389,551,551,689,901
943,1,deep university press,deep university press,1--939755,2015,2015,1,1387,1387,552,552,875,902
949,1,delete press,delete press,0--9991037,2018,2018,1,1373,1373,553,553,2161,1921
957,1,delmar publishers,delmar publishers,0--8273,1998,1999,2,1356,1356,554,554,909,903
958,1,delmonico books,delmonico books,3--7913,2014,2014,1,225,225,555,555,141,137
959,1,delmonico books prestel,delmonico books prestel,3--7913,2016,2016,1,225,225,555,555,141,137
1599,1,hirshhorn museum and sculpture garden,hirshhorn museum and sculpture garden,3--7913,2013,2013,1,225,225,555,555,141,137
2061,1,los angeles county museum of art,los angeles county museum of art,3--7913,2017,2017,1,225,225,555,555,141,137
2467,1,orange county museum of art,orange county museum of art,3--7913,2011,2011,1,225,225,555,555,141,137
2712,1,prestel,prestel,3--7913,2013,2014,2,225,225,555,555,141,137
962,1,delta books,delta books,0--8180,1975,1975,1,1346,1346,556,556,2091,2178
963,1,delta education,delta education,1--62571,2018,2018,1,1353,1353,557,557,651,1893
964,1,dennis mcmillan,dennis mcmillan,0--9609986,1984,1984,1,1343,1343,558,558,1827,2050
965,1,department of public health and epidemiology university of birmingham,department of public health and epidemiology university of birmingham,0--7044,2004,2004,1,1341,1341,559,559,759,2051
966,1,derek bok center for teaching and learning harvard university,derek bok center for teaching and learning harvard university,0--9662468,2002,2002,1,1342,1342,560,560,760,1894
968,1,design studio press,design studio press,1--62465,2018,2018,1,1331,1331,561,561,2070,1978
969,1,desperation press turnrow books,desperation press turnrow books,0--9703964,2014,2014,1,1329,1329,562,562,2135,1895
970,1,destiny books,destiny books,0--89281,1987,1987,1,1326,1326,563,563,830,1392
971,1,destiny image publishers,destiny image publishers,1--56043,1997,1997,1,1330,1330,564,564,761,2108
972,1,devorss,devorss,0--87516,1987,1987,1,439,439,565,565,397,514
973,1,devorss and company,devorss and company,0--87516,1976,1976,1,439,439,565,565,397,514
974,1,devotional life press,devotional life press,0--9670843,2001,2001,1,1321,1321,566,566,1859,686
975,1,dew bear enterprises,dew bear enterprises,1--942261,2015,2015,1,1322,1322,567,567,2213,2109
980,1,diane craver,diane craver,1--5022,2014,2014,1,1304,1304,568,568,1948,2149
981,1,dianne harman,dianne harman,1--5405,2016,2016,1,1306,1306,569,569,2214,1933
982,1,digital legend,digital legend,1--937735,2012,2012,1,428,428,570,570,504,399
983,1,digital legend press,digital legend press,1--937735,2011,2011,1,428,428,570,570,504,399
984,1,digital legend publishing,digital legend publishing,1--937901,2014,2014,1,1299,1299,571,571,1860,1393
985,1,director of national parks,director of national parks,0--9807460,2016,2016,1,1297,1297,572,572,2051,1394
986,1,discovery house,discovery house,1--62707,2015,2015,1,1300,1300,573,573,1828,724
987,1,discovery house publishers,discovery house publishers,1--57293,2014,2014,1,1294,1294,574,574,1861,1934
991,1,diversion books,diversion books,1--68230;1--62681;1--4296,2013,2016,4,94,94,575,575,192,188
992,1,diversion publishing corp,diversion publishing corp,1--4296;1--62681,2013,2015,2,94,94,575,575,192,188
1180,1,everafter romance,everafter romance,1--68230,2016,2016,1,94,94,575,575,192,188
998,1,dobby,dobby,1--85882,1994,1994,1,1273,1273,576,576,1862,1979
1003,1,dog ear pubilshing,dog ear pubilshing,1--4575,2018,2018,1,1272,1272,577,577,910,2010
1004,1,dog ear publishing,dog ear publishing,1--60844,2009,2009,1,1263,1263,578,578,1949,758
1005,1,dollard publishing company inc,dollard publishing company inc,0--9729467,2004,2004,1,1262,1262,579,579,660,1935
1007,1,dolphin,dolphin,1--85881,2004,2004,1,1265,1265,580,580,1896,1896
1008,1,donald i fine,donald i fine,1--55611,1987,1987,1,1256,1256,581,581,1920,1936
1009,1,dorchester pub,dorchester pub,0--8439,2003,2003,1,115,115,582,582,183,180
1010,1,dorchester pub co,dorchester pub co,0--8439;0--85768,2004,2004,1,115,115,582,582,183,180
1011,1,dorchester publishing co,dorchester publishing co,0--8439,1994,1994,1,115,115,582,582,183,180
1994,1,leisure books,leisure books,0--8439,1996,2007,4,115,115,582,582,183,180
1012,1,dorcus smucker,dorcus smucker,0--9883329,2012,2012,1,1250,1250,583,583,2119,841
1015,1,dorrance publishing co inc,dorrance publishing co inc,1--4809,2013,2013,1,1239,1239,584,584,2136,1937
1017,1,dorsey press,dorsey press,0--256,uuuu,uuuu,1,1234,1234,585,585,1863,1938
1018,1,dos madres press inc,dos madres press inc,1--933675,2013,2013,1,1231,1231,586,586,1864,1897
1019,1,dottir press,dottir press,1--948340,2018,2018,1,1228,1228,587,587,2052,2134
1020,1,double r publishing,double r publishing,0--9718696,2002,2002,1,1225,1225,588,588,1988,1939
1021,1,double take,double take,0--9972899,2016,2016,1,1253,1253,589,589,1989,2135
1023,1,doubleday ireland,doubleday ireland,1--78162,2014,2014,1,1219,1219,590,590,1865,1395
1025,1,douglas and mcintyre,douglas and mcintyre,1--55365;0--88899;1--926685,2003,2013,4,250,250,591,591,298,302
1026,1,dover,dover,0--486,1984,1984,1,240,240,592,592,220,220
1027,1,dover pub,dover pub,0--486,1969,1994,2,240,240,592,592,220,220
1028,1,dover publications,dover publications,0--486,1950,2006,6,240,240,592,592,220,220
1029,1,dover publications inc,dover publications inc,0--486,1988,2017,4,240,240,592,592,220,220
1030,1,down and out books,down and out books,1--943402,2017,2017,1,1211,1211,593,593,2178,1898
1031,1,down east,down east,1--4617,2013,2013,1,120,120,594,594,184,172
1032,1,down east books,down east books,1--60893;1--4617,1996,2014,2,120,120,594,594,184,172
2105,1,madison books,madison books,1--4617,1991,1991,1,120,120,594,594,184,172
2997,1,scarescrow press inc,scarescrow press inc,1--4617,2007,2007,1,120,120,594,594,184,172
1033,1,downtown bookworks,downtown bookworks,1--935703,2012,2012,1,1220,1220,595,595,1352,660
1034,1,dr john douillard's lifespa,dr john douillard's lifespa,0--9898242,2016,2016,1,1208,1208,596,596,648,821
1036,1,drake publishers,drake publishers,0--8473;0--87749,1973,1978,2,442,442,597,597,398,515
1037,1,drama book publishers,drama book publishers,0--89676,1984,1984,1,1201,1201,598,598,1829,1899
1038,1,dramatists play service,dramatists play service,0--8222,1994,2016,3,435,435,599,599,505,516
1039,1,dramatists play service inc,dramatists play service inc,0--8222,2000,2018,4,435,435,599,599,505,516
1040,1,dreamspinner press,dreamspinner press,1--62798;1--63533;1--62380,2013,2017,5,279,279,600,600,299,303
1041,1,drumcondra publications,drumcondra publications,0--9564110,2011,2011,1,1184,1184,601,601,2120,1940
1042,1,dublin city public libraries,dublin city public libraries,1--907002,2010,2010,1,1194,1194,602,602,2191,1900
1043,1,duckworth,duckworth,0--7156,1979,1979,1,1178,1178,603,603,911,1941
1044,1,dukane press,dukane press,0--87800,1971,1971,1,1183,1183,604,604,876,1901
1045,1,duke classics,duke classics,1--62011;1--63421;1--62012;1--62013,2012,2014,7,244,244,605,605,213,213
1047,1,duncan baird,duncan baird,1--84483,2007,2007,1,1169,1169,606,606,1830,1902
1048,1,dundurn,dundurn,1--4597,2015,2015,1,1167,1167,607,607,2107,2083
1049,1,dunedin,dunedin,1--78046,2014,2017,2,1170,1170,608,608,1971,1396
1050,1,dunwoody press,dunwoody press,0--931745,2013,2013,1,1162,1162,609,609,2009,2206
1051,1,duo press llc,duo press llc,1--938093,2015,2015,1,1161,1161,610,610,1831,687
1052,1,durandus,durandus,1--940575,2011,2011,1,1160,1160,611,611,1866,904
1056,1,dynamama,dynamama,0--9864304,2015,2015,1,1154,1154,612,612,2010,842
1059,1,e and f n spon,e and f n spon,0--419,1971,1989,2,1145,1145,613,613,1832,1903
1062,1,e artnow ebooks,e artnow ebooks,80--7484,2013,2013,1,1142,1142,614,614,742,740
1063,1,e ditions dilecta,e ditions dilecta,2--37372,2016,2016,1,1139,1139,615,615,1833,1942
1068,1,e reads,e reads,1--61756,2013,2013,2,1136,1136,616,616,1990,1904
1072,1,eberly press,eberly press,0--932296,1979,1979,1,1132,1132,617,617,721,1943
1073,1,ebookslib,ebookslib,1--4121,2011,2011,1,1135,1135,618,618,2155,2207
1076,1,eckhartz press,eckhartz press,0--9848049,2013,2013,1,1122,1122,619,619,1834,2169
1077,1,eclipse books,eclipse books,0--913035,1990,1990,1,1119,1119,620,620,1835,843
1078,1,ecpr press,ecpr press,1--78552,2016,2016,1,1115,1115,621,621,2156,905
