id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-pre-unweighted-nimp,walktrap-pre-unweighted-imp,louvain-pre-unweighted-nimp,louvain-pre-unweighted-imp,infomap-pre-unweighted-nimp,infomap-pre-unweighted-imp
1080,1,eden project,eden project,1--903919,2006,2006,1,1113,1113,622,622,912,2184
1082,1,edge books,edge books,1--890311,2014,2014,1,1117,1117,623,623,2086,844
1084,1,ediciones universal,ediciones universal,0--89729,1981,1981,1,1110,1110,624,624,793,1397
1087,1,editora ufsc,editora ufsc,85--328,2017,2017,1,1106,1106,625,625,2071,1944
1088,1,editorial a contracorriente,editorial a contracorriente,1--945234,2016,2016,1,1120,1120,626,626,794,2110
1089,1,editorial pontificia universidad javeriana,editorial pontificia universidad javeriana,958--781,2017,2017,1,1098,1098,627,627,658,906
1091,1,edizioni press,edizioni press,1--931536,2002,2002,1,1090,1090,628,628,1353,907
1092,1,education next books hoover institution press stanford university,education next books hoover institution press stanford university,0--8179,2014,2014,1,1088,1088,629,629,877,1905
1093,1,educational communications inc,educational communications inc,0--930315,1985,1985,1,1089,1089,630,630,1836,1945
1094,1,educational design,educational design,0--87694,1993,1993,1,1086,1086,631,631,1837,771
1095,1,educational technology publications,educational technology publications,0--87778,1994,1994,1,1094,1094,632,632,685,908
1096,1,educators publishing service service,educators publishing service service,0--8388,2008,2008,1,333,333,633,633,452,517
3024,1,school specialty inc,school specialty inc,0--8388,2016,2016,1,333,333,633,633,452,517
1064,1,e elgar,e elgar,1--78254;1--84064;1--84376,2002,2015,2,64,64,634,634,15,14
1081,1,edgar elgar publishing,edgar elgar publishing,1--78471,2015,2015,1,64,64,634,634,15,14
1098,1,edward elgar,edward elgar,0--85793;1--84980;1--84844;1--78254;1--78347;1--78100;1--84542;1--84376;1--84720;1--78195,2002,2015,22,64,64,634,634,15,14
1099,1,edward elgar pub,edward elgar pub,1--84064;1--78536;1--84542,2000,2016,3,64,64,634,634,15,14
1100,1,edward elgar publishing,edward elgar publishing,1--84980;1--78254;1--78897;1--78536;1--78471;1--78643;1--78811,2016,2018,8,64,64,634,634,15,14
1101,1,edward elgar publishing limited,edward elgar publishing limited,1--78347;1--78471;1--78811,2015,2018,3,64,64,634,634,15,14
1102,1,edward elgar publishing ltd,edward elgar publishing ltd,1--78195,2013,2013,1,64,64,634,634,15,14
1104,1,ee edward elgar publishing,ee edward elgar publishing,1--78536;1--78471,2016,2016,3,64,64,634,634,15,14
1103,1,edwin mellen press,edwin mellen press,0--7734,2014,2014,1,1044,1044,635,635,913,2165
1105,1,eerdmans,eerdmans,0--8028,1966,1983,3,226,226,636,636,142,138
1106,1,eerdmans books for young readers,eerdmans books for young readers,0--8028,2012,2012,1,226,226,636,636,142,138
