cluster_id,isbn,record
877,0--7382,3
878,0--7382,1
879,0--7382,1
880,0--306,3
881,0--7582,1
882,1--84262,2
883,1--85389,2
884,1--84262,1
884,1--85389,1
885,1--62897,2
885,1--56478,1
886,1--4530,1
887,2--205,3
888,0--917201,1
889,1--59307,1
889,1--61655,1
890,0--232,1
891,1--4347,2
891,0--912692,1
891,0--7814,1
892,0--385,1
893,0--87923,1
893,1--56792,2
894,1--56792,1
895,1--988631,1
896,1--941701,2
897,0--88677,1
898,0--698,1
898,0--7564,2
898,0--87997,1
899,0--692,1
900,0--8128,1
901,1--4012,6
902,1--4012,1
903,0--929500,1
904,3--11,35
904,1--61451,3
904,3--0346,1
904,1--5015,2
905,1--61451,1
905,3--11,1
905,1--5015,1
906,3--11,2
907,3--11,1
908,0--665,1
909,1--62202,1
910,1--910251,1
911,1--939755,1
912,1--250,1
912,0--345,4
912,0--05,1
912,1--4735,1
913,0--345,3
914,0--345,2
915,0--385,3
916,0--385,1
916,0--440,1
917,0--9991037,1
918,0--440,35
918,1--4481,1
919,0--679,1
920,0--396,1
920,0--440,12
920,0--307,1
921,0--440,3
922,0--385,1
922,0--440,2
923,0--440,1
924,0--440,2
925,0--8273,2
926,3--7913,2
927,3--7913,1
928,0--385,3
929,0--385,1
930,0--8180,1
931,1--62571,1
932,0--9609986,1
933,0--7044,1
934,0--9662468,1
935,0--517,1
936,1--62465,1
937,0--9703964,1
938,0--89281,1
939,1--56043,1
940,0--87516,2
941,0--87516,1
942,0--9670843,1
943,1--942261,1
944,0--06,4
945,0--8037,4
945,0--7352,1
946,0--385,2
946,0--8037,3
947,0--385,1
948,1--5022,1
949,1--5405,1
950,1--937735,2
951,1--937735,1
952,1--937901,1
953,0--9807460,1
954,1--62707,1
955,1--57293,1
956,1--4847,1
957,1--4231,1
958,1--4847,1
958,1--368,1
959,1--62681,2
959,1--68230,1
959,1--4296,1
960,1--62681,1
960,1--4296,1
961,0--241,2
961,1--4654,8
962,0--241,1
963,0--7894,3
964,0--7894,2
964,1--4654,7
965,0--7566,1
965,1--4654,1
966,1--85882,1
967,0--396,4
968,0--553,1
969,0--396,2
970,0--665,1
971,1--4575,1
972,1--60844,1
973,0--9729467,1
974,1--85881,1
975,1--55611,1
976,0--8439,3
977,0--8439,1
978,0--9883329,1
979,0--7566,2
979,85--250,1
980,0--241,1
981,1--4809,1
982,0--88029,2
983,0--256,1
984,1--933675,1
985,1--948340,1
986,0--9718696,1
987,0--9972899,1
988,0--385,9
988,0--552,1
989,1--78162,1
990,0--7394,1
991,1--926685,2
991,1--55365,1
991,0--88899,1
992,0--486,13
993,0--486,12
994,0--486,10
995,0--486,4
996,1--943402,1
997,1--4617,2
998,1--60893,1
998,1--4617,1
999,1--935703,1
1000,0--9898242,1
1001,0--517,1
1001,0--394,1
1002,0--87749,1
1002,0--8473,1
1003,0--89676,1
1004,0--8222,7
1005,0--8222,4
1006,1--62380,1
1006,1--62798,3
1006,1--63533,1
1007,0--9564110,1
1008,1--907002,1
1009,0--7156,1
1010,0--87800,1
1011,1--62011,2
1011,1--62013,2
1011,1--62012,2
1011,1--63421,1
1012,0--8223,6
1013,1--84483,1
1014,1--4597,1
1015,1--78046,2
1016,0--931745,1
1017,1--938093,1
1018,1--940575,1
1019,1--5247,3
1019,1--101,2
1019,0--525,5
1019,1--4022,1
1020,0--525,1
1020,0--14,1
1021,0--534,1
1022,0--9864304,1
