"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"addicus books",946032095,"1--943886",50,476,34,569
"addison wesley",7246658,"0--201",52,1,821,68
"addison wesley",891675657,"0--321",52,1,821,68
"addison wesley",489983440,"0--201",52,1,821,68
"addison wesley",1013218155,"0--321",52,1,821,68
"addison wesley",187324244,"0--201",52,1,821,68
"addison wesley",493193563,"0--201",52,1,821,68
"addison wesley professional",1011613214,"0--321",51,1,821,9
"addison wesley pub co",493776738,"0--201",53,1,821,68
"adm",24011199,"0--9622558",54,1710,35,570
"adobe",1002157614,"0--321",55,1,821,9
"adobe press",906712690,"0--201",56,1,821,9
"adobe press",806220997,"0--13",56,1,821,9
"adobepress",317878906,"0--321",56,1,821,9
"adobepress",297573575,"0--321",56,1,821,9
"adonisandabbey publishers ltd",1055460353,"1--909112",57,1601,36,1290
"advanced marketing",1024186153,"607--618",58,1573,37,571
"adventure publications",56475642,"1--59193",59,1537,38,1291
"adventure publications inc",21555330,"0--934860",60,1523,39,1292
"advocacy press",32174097,"0--911655",61,1482,40,1959
"aeon",1051675084,"1--911597",62,1456,41,1293
"aftershock comics",1042285486,"1--935002",63,1423,42,572
"agathon press inc",598457,"0--87586",64,313,43,407
"ahf publishing",924281938,"0--9861672",65,1392,44,1294
"ahima",870795716,"1--58426",66,1338,45,573
"aiga",319430636,"0--321",67,1,821,9
"aiga chicago",935696580,"0--692",68,61,726,11
"aip press",1090659183,"1--56396",69,68,46,146
"aip publishing llc",1027216488,"0--7354",70,68,46,146
"air and nothingness press",1089832917,"0--9991953",71,1210,47,1295
"air and nothingness press",1089835906,"0--9991953",71,1210,47,1295
"akashic books",861536232,"1--61775",72,314,48,305
"akashic books",875240369,"1--61775",72,314,48,305
"al anon family group headquarters",18189474,"0--910034",73,1165,49,574
"al anon family group headquarters",23239349,"0--910034",73,1165,49,574
"aladdin",1003834709,"1--5364",74,17,1766,14
"aladdin",1023733372,"1--4242",74,17,1766,14
"aladdin",1080285952,"1--4814",74,17,1766,14
"aladdin",966127539,"1--4301",74,17,1766,14
"aladdin books",19555699,"0--689",75,17,1766,14
"aladdin books",1037231882,"0--02",75,17,1766,14
"aladdin books",15367099,"0--689",75,17,1766,14
"aladdin paperbacks",62943660,"0--329",76,17,1766,14
"aladdin paperbacks",44113177,"1--4352",76,17,1766,14
"aladdin paperbacks",703483680,"0--02",76,17,1766,14
"aladdin paperbacks",34937980,"0--88103",76,17,1766,14
"aladdin paperbacks",76953403,"1--4287",76,17,1766,14
"aladdin paperbacks",1085976635,"0--689",76,17,1766,14
"aladdin paperbacks",233544940,"1--4169",76,17,1766,14
"aladdin quix",1039343330,"1--4814",77,17,1766,14
"alain braux international publishing llc",897814804,"0--9842883",78,721,50,575
"alan horvath",880301555,"1--4937",79,36,461,10
"alan r liss",489899734,"0--8451",80,688,51,576
"albert whitman and company",829989731,"1--4806",81,17,1766,69
"albert whitman and company",1002827029,"0--8075",81,17,1766,69
"alcoholics anonymous world services",779355523,"0--916856",82,1348,52,577
"alexander graham bell association for the deaf",606332719,"0--88200",83,600,53,578
"alexander hamilton institute",152416600,"0--86604",84,583,54,1296
"alfaguara",908088405,"1--941999",85,568,55,579
"alfaguara",951751481,"1--941999",85,568,55,579
"alfred a knopf",1040652347,"0--345",86,17,430,12
"alfred a knopf",1006764079,"0--307",86,17,430,12
"alfred a knopf",1020311639,"1--5247",86,17,430,12
"alfred a knopf",1037082706,"0--307",86,17,430,12
"alfred a knopf",881183549,"1--101",86,17,430,12
"alfred a knopf",1079883268,"0--525",86,17,430,12
"alfred a knopf",882906833,"0--385",86,17,430,12
"alfred a knopf",503189948,"0--679",86,17,430,12
"alfred a knopf",855242802,"0--307",86,17,430,12
"algonquin books of chapel hill",949266665,"1--61620",87,1848,56,1297
"algora publishing",933279235,"0--87586",88,313,43,407
"alison green books",944162980,"1--4071",89,17,1766,8
"all good literacies press",906786085,"0--692",90,61,726,11
"all things admin",1009075266,"0--9829430",91,1760,57,1298
"allen and unwin",612462906,"0--04",92,17,430,124
"allen and unwin",2669115,"0--04",92,17,430,124
"allen and unwin",922841926,"1--925266",92,17,430,124
"allen and unwin",1006480746,"1--76063",92,17,430,124
"allen and unwin",1057412260,"1--74343",92,17,430,124
"allen and unwin",1048127140,"1--76063",92,17,430,124
"allen and unwin",1011556361,"1--76011",92,17,430,124
"allen lane",905318390,"1--84614",93,1682,58,1299
"allen lane",867857055,"1--84614",93,1682,58,1299
"allison and busby",913200609,"0--7490",94,1673,59,1300
"allyn and bacon",1089009855,"0--205",95,1656,60,1301
"alpha science international ltd",1041913107,"1--78332",96,1639,61,1302
"alpine fine arts collection ltd",13683178,"0--88168",97,1633,62,580
"alta english",957132048,"1--882483",98,1620,63,581
"altajir world of islam trust",491170593,"1--901435",99,1617,64,582
"altamira press",927290761,"0--7591",100,13,65,32
"altamira press",1055745634,"1--4422",100,13,65,32
"althea press",1045605609,"1--64152",101,136,1452,217
"alton tobey collection",885228015,"0--935901",102,1560,66,583
"alyson",765142178,"1--59350",103,1539,67,584
"amacom",8789768,"0--8144",104,183,68,136
"amacom american management association",936861252,"0--8144",105,183,68,136
"amazon children's publishing",840123739,"0--7614",106,1507,69,585
"amazon createspace",1057554621,"1--4209",107,1483,70,1303
"amazonencore",878701799,"1--4778",108,200,71,214
"ameco pub",32397145,"0--912146",109,1457,72,547
"amelia cotter",1032615284,"1--5300",110,1440,73,1304
"amereon house",70662350,"0--8488",111,1422,74,586
"amereon house",123097087,"0--8488",111,1422,74,586
"america star books",908457518,"1--4819",112,62,462,26
"america's best comics",1014290409,"1--56389",113,1393,75,587
"american academy of pediatrics",945232330,"1--61002",114,1382,76,588
"american association of state highway and transportation officials",826442636,"1--56051",115,1367,77,1305
"american association of state highway and transportation officials",1005794567,"1--56051",115,1367,77,1305
"american association of university professors",1037675590,"0--252",116,8,861,515
"american bar association",854615358,"1--61438",117,1339,78,1966
"american bar association law practice management section",1061162900,"1--59031",118,1322,79,589
"american ceramic society",232626196,"0--470",119,4,887,5
"american chemical society",1057106897,"0--8412",120,390,80,306
"american chemical society",493803629,"0--8412",120,390,80,306
"american chemical society",952326612,"0--8412",120,390,80,306
"american chemical society",816919842,"0--88318",120,390,80,306
"american chemical society",1013388091,"0--8412",120,390,80,306
"american chemical society",864009365,"0--8412",120,390,80,306
"american geological institute",316806494,"0--913312",121,1273,81,1306
"american geriatrics society",1089197931,"1--886775",122,1265,82,1956
"american girl",1031850087,"1--60958",123,1248,83,590
"american girl publishing",1023645656,"1--68337",124,1232,84,538
"american health lawyers association",1082331233,"1--5221",125,1221,85,1307
"american hospital pub",11754253,"0--939450",126,1209,86,1957
"american hotel and lodging educational institute",756586907,"0--86612",127,1200,87,591
"american institute of architects",1023864185,"1--57165",128,1196,88,592
"american institute of certified public accountants inc",963914463,"1--943546",129,1181,89,1308
"american institute of physics",492248120,"1--56396",130,68,46,146
"american institute of physics",867605068,"0--7354",130,68,46,146
"american israeli cooperative enterprise",1037259231,"0--9712945",149,933,105,1313
"american library association",741431044,"0--8389",131,1135,90,1309
"american library association",884594991,"0--8389",131,1135,90,1309
"american management association",904587049,"0--8144",132,183,68,136
"american mathematical scociety",494710210,"0--8218",133,151,91,251
"american mathematical society",492362906,"0--8218",134,151,91,251
"american mathematical society",879576522,"1--4704",134,151,91,251
"american mathematical society",882238990,"0--8218",134,151,91,251
"american mathematical society",490010503,"0--8218",134,151,91,251
"american mathematical society",953793822,"1--4704",134,151,91,251
"american mathematical society",1056498470,"0--8218",134,151,91,251
"american mathematical society",891385407,"1--4704",134,151,91,251
"american mathematical society",889556417,"0--8218",134,151,91,251
"american mathematical society",953062383,"1--4704",134,151,91,251
"american mathematical society",908072039,"1--4704",134,151,91,251
"american mathematical society",907559245,"1--4704",134,151,91,251
"american mathematical society",690528128,"0--8218",134,151,91,251
"american mathematical society",490484526,"0--8218",134,151,91,251
"american mathematical society",11290800,"0--8218",134,151,91,251
"american mathematical society",882502384,"1--4704",134,151,91,251
"american medical association",12585696,"0--89970",135,1102,92,1310
"american nurses association",1098174066,"1--947800",136,1078,93,1311
"american philosophical society",33230972,"0--87169",137,1068,94,593
"american psychiatric",300690095,"0--88048",138,1051,95,536
"american psychiatric association",1049753968,"0--89042",139,1047,96,1312
"american psychiatric publishing",1065921084,"1--58562",140,407,97,307
"american psychiatric publishing inc",898994441,"1--58562",141,407,97,307
"american psychological association",1058138607,"1--4338",142,335,98,408
"american psychological association",1058544889,"1--4338",142,335,98,408
"american psychological association",1058488157,"1--4338",142,335,98,408
"american psychological association",889272269,"1--4338",142,335,98,408
"american psychological association",1099438252,"1--4338",142,335,98,408
"american psychological association",1009602266,"1--4338",142,335,98,408
"american revolution bicentennial commission of connecticut",6706812,"0--918676",143,1009,99,594
"american society of agronomy",839875337,"0--89118",144,997,100,595
"american society of civil engineers",1083585724,"0--7844",145,262,101,295
"american society of civil engineers",893630317,"1--63266",145,262,101,295
"american society of civil engineers",1081453775,"0--7844",145,262,101,295
"american society of civil engineers",1097184794,"0--7844",145,262,101,295
"american society of civil engineers",889405927,"0--7844",145,262,101,295
"american society of health system pharmacists",945613553,"1--58528",146,974,102,537
"american society of plant taxonomists",1084659439,"1--943751",147,961,103,596
"american university",1091583247,"1--339",148,95,104,38
"amg publishers",74822518,"0--89957",150,441,106,409
"amherst college press",1029004221,"1--943208",151,908,107,1960
"amherst media inc",1084558577,"1--68203",152,900,108,1314
"amicus illustrated",857234436,"1--60753",153,416,109,410
"amicus publishing",898717524,"1--60753",154,416,109,410
"amirsys",962405533,"0--323",155,9,573,25
"ammo",921131455,"1--62326",156,873,110,597
"ammo",959895563,"1--62326",156,873,110,597
"amon carter museum of american art",874901792,"0--300",157,40,1345,117
"ampersand inc",945554204,"0--9962525",158,859,111,1315
"amplify",1084742230,"1--947002",159,858,112,1967
"ams press",1015975573,"0--404",160,850,113,598
"ams press",301523907,"0--404",160,850,113,598
"ams press",19855231,"0--404",160,850,113,598
"amulet books",921864163,"1--4197",161,152,23,212
"amulet books",1035798078,"1--4197",161,152,23,212
"amulet books",865339525,"1--4197",161,152,23,212
"anchor books",880941009,"0--307",162,17,430,59
"anchor books",230187986,"0--307",162,17,430,59
"anchor books",58677323,"0--679",162,17,430,59
"anchor books",57580526,"0--679",162,17,430,59
"anchor books",15701928,"0--385",162,17,430,59
"anchor books",12029042,"0--385",162,17,430,59
"anchor books",491738381,"0--385",162,17,430,59
"anchor press",39777350,"0--9658392",163,819,114,1316
"and c black",21092605,"0--7136",164,118,1218,182
"andalus publishing",899214150,"0--9910476",165,770,115,599
"andersen press",877268550,"0--86264",166,224,116,231
"andersen press",915375398,"1--78344",166,224,116,231
"andersen press",962746025,"1--84939",166,224,116,231
"andrews mcmeel publishing",1043557973,"1--4494",167,122,1390,276
"andrews mcmeel publishing",62392814,"0--7407",167,122,1390,276
"andrews mcmeel publishing",1021853886,"1--4494",167,122,1390,276
"andrews mcmeel publishing",900090561,"1--4494",167,122,1390,276
"andrews mcmeel publishing",1034987790,"1--4494",167,122,1390,276
"andrews uk",785776693,"1--84540",168,714,117,1317
"angle valley press",233838652,"0--9711950",169,707,118,600
"anglican consultative council",1085549109,"1--911007",170,700,119,549
"animal media group llc",959032494,"0--9861489",171,1252,120,1318
"anita m caspary trust",913410136,"0--615",172,176,121,65
"ann arbor science publishers",300075360,"0--250",173,667,122,601
"annick press",811407018,"1--55451",174,654,123,1968
"anthem press",961407561,"1--78308",175,396,124,308
"anthem press",945648775,"1--78308",175,396,124,308
"antique collectors' club",228772344,"0--902028",176,632,125,1319
"antrim house",940556478,"1--936482",177,624,126,1320
"apa publications",865205351,"981--234",178,384,127,309
