Country_code,Publisher_code,Publisher
0,7069,Vikas Publications (India)
0,7071,John Gifford
0,7073,Scottish Academic Press
0,7076,Stationery Office (Ireland)
0,7078,National Trust
0,7079,Newman Books; Hemming Information Services
0,7081,Australian National University Press
0,7083,University of Wales Press
0,7084,Macaulay Institute; Soil Survey of England and Wales
0,7085,Inner London Education Authority (ILEA)
0,7087,nferNelson; GL Assessment
0,7088,Futura Publications
0,7089,Ulverscroft
0,7090,Robert Hale
0,7091,Robert Hale
0,7092,Paddington Press
0,7093,Birmingham City Council
0,7095,British Tourist Authority
0,7099,Croom Helm
0,7100,Routledge and Kegan Paul
0,7102,Routledge and Kegan Paul
0,7103,Kegan Paul International
0,7105,Peter Haddock Ltd
0,7106,Jane's Publishing
0,7108,Harvester Press
0,7110,Ian Allan
0,7112,Windward Books
0,7114,Godwin
0,7117,Jarrold Publishing
0,7119,Omnibus Press; Wise Publications
0,7121,Macdonald and Evans
0,7123,British Library
0,7126,Century; Century Books
0,7129,Dawsons of Pall Mall
0,7130,Woburn Press
0,7131,Edward Arnold
0,7134,Batsford
0,7135,George Bell & Sons
0,7136,A & C Black
0,7137,Blandford Press
0,7138,Bles
0,7139,Allen Lane
0,7140,British Publishing
0,7141,British Museum Publications
0,7145,Marion Boyars
0,7146,Frank Cass
0,7147,Mir Publishers; Progress Publishers (USSR)
0,7148,Phaidon Press
0,7150,Chester House Publications
0,7151,Church Information Office Publishing
0,7152,Saint Andrew Press
0,7153,David & Charles
0,7154,Christopher Davies
0,7156,Duckworth
0,7157,Holmes-McDougall
0,7158,EP Publishing
0,7160,Elliot Right Way
0,7161,Gower Press
0,7162,Epworth Press
0,7163,Fabian Society
0,7164,Faith Press
0,7165,Irish University Press
0,7167,W. H. Freeman; Scientific American Library
0,7168,Greater London Council
0,7171,Gill and Macmillan (Ireland)
0,7172,"Groupe Polygone Editeurs; Grolier Book Club, Scholastic, Early Moments"
0,7175,Hulton Press
0,7176,Health and Safety Executive (UK)
0,7178,International Publishers (New York)
0,7179,Johnston and Bacon
0,7181,Michael Joseph
0,7182,Kaye and Ward
0,7183,William Kimber
0,7184,Departments of the Environment and Transport: Library (UK)
0,7185,Leicester University Press
0,7186,H. K. Lewis
0,7187,University of London
0,7188,Lutterworth Press
0,7189,Luzac
0,7190,Manchester University Press
0,7191,Cornmarket Press
0,7192,Methodist Church: Division of Education and Youth
0,7194,Castle House Publications
0,7195,John Murray
0,7197,National Christian Education Council
0,7198,Northwood Publications
0,7199,National Council of Social Service
