"id","length","text","publisher_pro","isbn_new","year_min","year_max","record","./processed_data_1m/walktrap-unweighted","./processed_data_1m/louvain-unweighted","./processed_data_1m/infomap-unweighted"
5107,1,"lifelong books decapo press a member of the perseus books group","lifelong books decapo press a member of the perseus books group","0--7382",2015,2015,1,392,3498,173
5108,1,"lifelongfaith associates","lifelongfaith associates","0--9823031",2015,2015,1,2185,2616,2283
5109,1,"lifesite","lifesite","1--62138",2015,2015,1,137,260,405
5110,1,"liffey mchugh press","liffey mchugh press","0--9862280",2015,2015,3,2183,2617,4075
5111,1,"liffey press","liffey press","1--908308",2015,2015,3,2184,2618,2282
5112,1,"light man comics","light man comics","0--9568728",2015,2015,1,2182,2619,4074
5113,1,"light messages publishing","light messages publishing","1--61153",2015,2015,1,2186,2620,2281
5114,1,"light of the moon publishing","light of the moon publishing","1--5084",2015,2015,1,465,2491,45
5115,1,"light work","light work","0--935445",2015,2015,2,2178,2621,2280
5116,1,"lightfinger books","lightfinger books","0--9839022",2015,2015,1,2177,2622,4073
5117,1,"lighthouse","lighthouse","0--9980056",2015,2015,1,2179,2623,2279
5118,1,"lighthouse christian publishing","lighthouse christian publishing","1--5118",2015,2015,1,458,2491,108
5119,1,"lighthouse pub of the carolinas","lighthouse pub of the carolinas","1--941103",2015,2015,1,1114,2624,919
5120,1,"lighthouse publishing of the carolinas","lighthouse publishing of the carolinas","1--941103",2015,2015,1,1114,2624,919
5121,1,"lighting guides","lighting guides","1--942411",2015,2015,2,613,2625,627
5122,1,"lightly press","lightly press","1--5152",2015,2015,1,27,2491,29
5123,1,"lightning guides","lightning guides","1--942411",2015,2015,13,613,2625,627
5124,1,"lightning source uk","lightning source uk","0--8138;1--57003;3--642;1--4020;1--84569;0--412;0--471;90--247;0--470;4--431;0--306;0--226",2015,2015,21,59,3498,82
5125,1,"lightning source uk ltd","lightning source uk ltd","0--521;0--19",2015,2015,5,85,2802,57
5126,1,"lightspeed magazine","lightspeed magazine","1--5121",2015,2015,1,7,2491,122
5127,1,"liguori","liguori","0--7648",2015,2015,1,744,2609,921
5128,1,"lil' libros llc","lil' libros llc","0--9861099",2015,2015,2,1301,2626,918
5129,1,"lilliput press","lilliput press","1--84351",2015,2015,3,2166,2627,2278
5130,1,"lily harper hart","lily harper hart","1--5186",2015,2015,1,35,2491,91
5131,1,"limitless ink press llc","limitless ink press llc","1--939672",2015,2015,1,2165,2628,2277
5132,1,"limitless publishing","limitless publishing","1--68058",2015,2015,3,112,2629,391
5133,1,"limitless publishing llc","limitless publishing llc","1--5009;1--68058",2015,2015,5,112,2629,391
5134,1,"linc press","linc press","0--9773688",2015,2015,1,2163,2630,2276
5135,1,"linchpin books","linchpin books","0--9566157",2015,2015,1,2162,2631,2275
5136,1,"lincoln institute of land policy","lincoln institute of land policy","1--55844",2015,2015,11,2164,2632,4072
5137,1,"lindsey carmichael","lindsey carmichael","0--9948177",2015,2015,1,2159,2633,4071
5138,1,"lindsey pylarinos","lindsey pylarinos","1--329",2015,2015,1,44,2704,84
5139,1,"linford","linford","1--4448",2015,2015,193,42,1619,54
5140,1,"linford f a thorpe publishing","linford f a thorpe publishing","1--4448",2015,2015,5,42,1619,54
5141,1,"linus learning","linus learning","1--60797",2015,2015,4,2155,2634,4070
5142,1,"linx","linx","1--936961",2015,2015,1,2154,2635,4069
5143,1,"lion books","lion books","0--7459",2015,2015,2,551,2636,424
5144,1,"lion children's","lion children's","0--7459",2015,2015,8,551,2636,424
5145,1,"lion children's books","lion children's books","0--7459",2015,2015,2,551,2636,424
5146,1,"lion fiction","lion fiction","1--78264",2015,2015,19,2152,2637,4068
5147,1,"lion forge comics","lion forge comics","1--63140",2015,2015,2,278,2194,155
5148,1,"lion hudson","lion hudson","0--7459",2015,2015,1,551,2636,424
5149,1,"lion of texas theatrical productions llc","lion of texas theatrical productions llc","0--692",2015,2015,1,3,1177,1
5150,1,"lioncrest","lioncrest","1--61961",2015,2015,1,2146,2638,2274
5151,1,"lionesse books","lionesse books","0--9970958",2015,2015,2,2147,2639,4067
5152,1,"lippincott william and wilkins","lippincott william and wilkins","1--4963",2015,2015,1,34,4687,31
5153,1,"lippincott williams and wilkins","lippincott williams and wilkins","1--4698;1--60913;1--4963;1--4511;1--60831",2015,2015,11,34,4687,31
5154,1,"lisa a borunda conner","lisa a borunda conner","1--5084",2015,2015,1,465,2491,45
5155,1,"lisa fleetwood","lisa fleetwood","0--9945914",2015,2015,1,2144,2640,4066
5156,1,"lisa hagan books","lisa hagan books","0--9764986",2015,2015,1,2143,2641,4065
5157,1,"lisa kroese","lisa kroese","1--5170",2015,2015,1,474,2491,71
5158,1,"lisa lewis","lisa lewis","1--5087",2015,2015,1,7,2491,205
5159,1,"lisarenee ciancio fogarty","lisarenee ciancio fogarty","0--692",2015,2015,1,3,1177,1
5160,1,"lisburn press","lisburn press","0--578",2015,2015,1,466,11,15
5161,1,"lismore books","lismore books","0--9546566",2015,2015,1,2138,2642,4064
5162,1,"lissa johnston","lissa johnston","0--9973068",2015,2015,1,2139,2643,2273
5163,1,"lit","lit","3--643",2015,2015,1,2137,2644,4063
5164,1,"lit city publishing","lit city publishing","0--692",2015,2015,1,3,1177,1
5165,1,"lit fest press","lit fest press","1--943170",2015,2015,2,2136,2645,4062
5166,1,"litchfield garden club","litchfield garden club","1--320",2015,2015,1,15,3214,189
5167,1,"litchfield school district","litchfield school district","1--5143",2015,2015,2,476,2491,76
5168,1,"litcrit press","litcrit press","0--692",2015,2015,2,3,1177,1
5169,1,"literal publishing","literal publishing","1--942307",2015,2015,1,2132,2646,2272
5170,1,"literary classics of the united states","literary classics of the united states","1--59853",2015,2015,1,622,2607,628
5171,1,"literary licensing","literary licensing","1--4940",2015,2015,1,2131,2647,4061
5172,1,"literary romance publishing","literary romance publishing","1--5122",2015,2015,1,7,2491,115
5173,1,"lithic press","lithic press","0--9962170",2015,2015,2,2128,2648,2271
5174,1,"litho printers and bindery","litho printers and bindery","1--4951",2015,2015,1,472,1244,25
5175,1,"litmus press","litmus press","1--933959",2015,2015,3,2126,2649,4060
5176,1,"little a","little a","1--5039",2015,2015,1,270,3881,83
5177,1,"little ant books","little ant books","0--9872626",2015,2015,1,2124,2650,2270
5178,1,"little bee books","little bee books","1--4998",2015,2015,69,547,657,438
5179,1,"little bigfoot","little bigfoot","1--57061;1--63217",2015,2015,3,1325,2651,738
5180,1,"little boo publishing","little boo publishing","0--9926167",2015,2015,4,2123,2652,2269
5181,1,"little bookroom","little bookroom","1--936941",2015,2015,1,2127,2653,4059
5182,1,"little brown","little brown","0--7515;1--4087;0--8021;0--9967457;0--316",2015,2015,17,11,2654,166
5183,1,"little brown and co","little brown and co","0--316",2015,2015,2,11,2654,35
5184,1,"little brown and comapny","little brown and comapny","0--316",2015,2015,1,11,2654,35
5185,1,"little brown and company","little brown and company","1--4087;0--316;1--68121;1--948381;1--4914;0--7515;0--9982060",2015,2015,123,11,2654,166
5186,1,"little brown and company hachette book group","little brown and company hachette book group","0--316",2015,2015,2,11,2654,35
5187,1,"little brown book","little brown book","0--7515",2015,2015,1,11,2654,166
5188,1,"little brown book group","little brown book group","0--7515;0--349",2015,2015,7,11,2654,93
5189,1,"little brown books for young readers","little brown books for young readers","1--5102;0--349",2015,2015,9,52,2654,93
5190,1,"little brown dog publishing","little brown dog publishing","1--943277",2015,2015,2,2110,2655,4058
5191,1,"little brown group","little brown group","0--349",2015,2015,1,52,2654,93
5192,1,"little brown spark","little brown spark","0--316",2015,2015,1,11,2654,35
5193,1,"little fig llc","little fig llc","1--63333",2015,2015,2,2109,2656,2268
5194,1,"little flower publishing","little flower publishing","0--9883230",2015,2015,1,2107,2657,2267
5195,1,"little g books","little g books","1--5229",2015,2015,1,7,2491,259
5196,1,"little libros llc","little libros llc","0--9861099",2015,2015,1,1301,2626,918
5197,1,"little me","little me","1--4723",2015,2015,2,397,3351,164
5198,1,"little nomad","little nomad","0--9966172",2015,2015,1,2104,2658,2266
5199,1,"little pickle press","little pickle press","1--939775",2015,2015,1,2105,2659,2265
5200,1,"little simon","little simon","1--61479;1--4814",2015,2015,34,7,3389,320
5201,1,"little tiger kids","little tiger kids","1--84869",2015,2015,2,422,617,1375
5202,1,"little tiger press","little tiger press","1--4795;1--84869",2015,2015,5,422,617,1375
5203,1,"little toller books","little toller books","1--908213",2015,2015,2,747,846,1047
5204,1,"littman library of jewish civilization","littman library of jewish civilization","1--906764",2015,2015,1,2103,2660,4057
5205,1,"liturgical press","liturgical press","0--8146",2015,2015,5,2099,2661,2264
5206,1,"liturgy training pub","liturgy training pub","1--61671",2015,2015,2,736,2662,917
