cluster_id,isbn,record,type
311,0--9861316,1,1
312,1--5122,1,1
313,0--692,1,1
314,1--5123,1,1
315,1--4778,3,1
316,1--5039,1,1
317,1--62020,1,1
318,1--62020,3,1
319,1--78274,11,1
320,1--4456,4,1
321,1--4456,2,1
322,1--5238,1,1
323,0--9824773,2,1
324,1--910612,2,1
325,83--253,1,1
326,1--887456,2,1
327,1--68090,1,1
327,1--68122,1,1
328,1--63508,1,1
329,1--940352,1,1
330,1--61525,1,1
331,1--58110,1,1
332,1--58110,7,1
333,1--58326,1,1
334,0--9825482,1,1
335,1--57858,2,1
336,1--881876,1,1
337,0--89181,1,1
338,1--4214,1,1
339,1--937604,2,1
339,0--9965068,1,1
340,1--63425,31,1
340,1--61438,1,1
340,1--62722,9,1
341,1--62722,1,1
342,1--63425,1,1
343,1--63425,1,1
344,1--63425,2,1
345,1--63425,1,1
346,1--62722,1,1
347,1--63425,1,1
348,1--63425,1,1
349,1--62722,1,1
350,1--60443,2,1
351,1--60443,1,1
352,0--943117,1,1
353,1--57498,1,1
353,1--118,1,1
353,1--119,1,1
354,0--8412,14,1
355,1--5051,2,1
356,1--938245,1,1
356,1--938921,7,1
357,0--87031,1,1
357,1--5108,5,1
357,1--942727,7,1
358,1--59740,2,1
359,1--119,8,1
359,1--55620,5,1
360,0--692,1,1
361,0--935302,3,1
361,1--4739,1,1
362,1--934874,2,1
363,0--912161,5,1
364,1--118,66,1
364,1--119,17,1
365,1--5088,1,1
366,0--606,2,1
367,1--60958,2,1
368,1--63282,3,1
369,1--57370,3,1
370,1--933942,1,1
371,1--4954,1,1
372,1--62410,5,1
373,1--62410,3,1
374,1--62410,1,1
375,1--944214,2,1
376,1--943546,3,1
377,1--943546,2,1
378,1--59551,1,1
379,0--9853779,1,1
380,0--8389,3,1
381,0--8144,33,1
381,0--7612,4,1
382,1--63439,1,1
383,1--4704,97,1
383,0--8218,10,1
384,1--62202,3,1
385,1--935704,1,1
386,1--55810,3,1
387,1--62585,3,1
387,1--62619,1,1
387,1--4671,1,1
388,1--58212,2,1
389,1--58212,11,1
390,0--89054,6,1
391,1--61190,4,1
392,1--351,1,1
392,1--61190,1,1
393,0--89641,1,1
394,1--61537,1,1
395,1--58562,33,1
396,1--58562,27,1
396,1--61537,4,1
397,1--58562,1,1
398,1--4338,44,1
399,0--87553,2,1
400,1--60460,1,1
401,1--62595,2,1
402,1--61406,1,1
402,1--63437,6,1
403,1--5108,1,1
404,1--62139,1,1
404,0--87661,1,1
405,0--89757,1,1
406,0--89189,1,1
407,1--55581,2,1
408,1--57117,1,1
409,1--889622,1,1
410,0--89118,4,1
411,0--89118,1,1
412,0--89118,1,1
413,1--5231,6,1
413,0--7844,35,1
414,0--692,1,1
415,1--58528,1,1
416,1--58528,1,1
417,0--9729423,1,1
418,0--7918,8,1
419,0--912861,1,1
420,1--5231,2,1
421,0--692,1,1
422,0--8269,1,1
423,1--321,70,1
423,1--339,45,1
424,977--416,8,1
425,1--58321,2,1
425,1--63439,2,1
425,1--61300,6,1
425,1--62576,9,1
426,0--87171,3,1
427,1--879128,2,1
428,1--56163,1,1
429,1--943208,1,1
430,1--60895,11,1
431,1--60895,10,1
432,1--60753,32,1
433,1--60753,18,1
433,1--322,6,1
434,1--60753,11,1
434,1--4521,1,1
435,1--60753,3,1
436,1--937484,5,1
437,0--323,1,1
438,0--06,7,1
