id,length,text,publisher_pro,isbn_new,year_min,year_max,record
112,1,acapella publishing,acapella publishing,0--9786493,2015,2015,2.0
113,1,acbt books,acbt books,1--5005,2015,2015,2.0
114,1,acc art books,acc art books,1--85149,2015,2015,3.0
115,1,acc art books ltd,acc art books ltd,1--85149,2015,2015,1.0
116,1,accent press,accent press,1--78375;1--910939,2015,2015,4.0
117,1,accent press ltd,accent press ltd,1--78375;1--910939,2015,2015,3.0
118,1,accents publishing,accents publishing,1--936628,2015,2015,1.0
119,1,accepted inc,accepted inc,1--941743,2015,2015,2.0
120,1,access consciousness publishing,access consciousness publishing,1--63493,2015,2015,1.0
121,1,access publishing group llc,access publishing group llc,0--9963079,2015,2015,1.0
122,1,acclaim press,acclaim press,1--938905;1--942613,2015,2015,2.0
123,1,acclain press,acclain press,1--942613,2015,2015,1.0
124,1,accountingtools,accountingtools,1--938910,2015,2015,1.0
125,1,accountingtools inc,accountingtools inc,1--938910,2015,2015,3.0
126,1,ace,ace,0--425,2015,2015,1.0
127,1,ace books,ace books,0--425;1--101,2015,2015,20.0
128,1,achieve beyond press,achieve beyond press,0--9872704,2015,2015,1.0
129,1,aciar,aciar,1--925133,2015,2015,1.0
130,1,acm,acm,1--4503,2015,2015,4.0
131,1,acm press,acm press,1--4503,2015,2015,2.0
132,1,acme poem company willow springs editions,acme poem company willow springs editions,0--9832317,2015,2015,1.0
133,1,acmrs arizona center for medieval and renaissance studies,acmrs arizona center for medieval and renaissance studies,0--86698,2015,2015,1.0
134,1,acquavella galleries,acquavella galleries,0--9826886,2015,2015,1.0
135,1,acr e dition,acr e dition,2--86770,2015,2015,1.0
136,1,acs books,acs books,1--5051,2015,2015,2.0
137,1,acsa press,acsa press,0--935502,2015,2015,2.0
138,1,act electoral commission,act electoral commission,0--642,2015,2015,1.0
139,1,act publishing,act publishing,0--692,2015,2015,1.0
140,1,acta,acta,0--87946,2015,2015,1.0
141,1,acta publications,acta publications,0--87946,2015,2015,2.0
142,1,acta sports,acta sports,0--87946,2015,2015,2.0
143,1,actar publisher and ajuntament de barcelona,actar publisher and ajuntament de barcelona,1--940291,2015,2015,1.0
144,1,actar publishers,actar publishers,1--940291,2015,2015,5.0
145,1,actex publications inc,actex publications inc,1--62542,2015,2015,1.0
146,1,action lab,action lab,1--63229,2015,2015,1.0
147,1,action lab comics,action lab comics,1--63229,2015,2015,7.0
148,1,action lab danger zone,action lab danger zone,1--63229,2015,2015,1.0
149,1,action lab entertainment,action lab entertainment,1--63229;1--68124,2015,2015,9.0
150,1,active learning publishers,active learning publishers,0--9903746,2015,2015,1.0
151,1,active parenting publishers,active parenting publishers,1--59723,2015,2015,1.0
152,1,acutebydesign publishing,acutebydesign publishing,1--943515,2015,2015,1.0
153,1,adams media,adams media,1--4405;1--4351,2015,2015,25.0
154,1,adaptive comics,adaptive comics,0--9960666,2015,2015,1.0
155,1,adauto rezende,adauto rezende,0--9866889,2015,2015,1.0
156,1,addicott press,addicott press,1--5177,2015,2015,1.0
157,1,addicus books,addicus books,1--940495;1--943886,2015,2015,2.0
158,1,addicus books inc,addicus books inc,1--940495,2015,2015,2.0
159,1,addison wesley,addison wesley,0--672;0--321;0--13,2015,2015,36.0
160,1,adeline press,adeline press,0--9942953,2015,2015,2.0
161,1,adi da foundation press,adi da foundation press,1--942789,2015,2015,1.0
162,1,adis,adis,3--319,2015,2015,1.0
163,1,adobe,adobe,0--13,2015,2015,2.0
164,1,adobe press,adobe press,0--13,2015,2015,3.0
165,1,advantage,advantage,1--59932,2015,2015,4.0
166,1,advantage books,advantage books,1--59755,2015,2015,1.0
167,1,advantage media group,advantage media group,1--59932,2015,2015,1.0
168,1,adventure publications inc,adventure publications inc,1--59193,2015,2015,2.0
169,1,adventures unlimited press,adventures unlimited press,1--939149,2015,2015,1.0
170,1,aer publications llc,aer publications llc,0--9969363,2015,2015,2.0
171,1,aesop modern fiction,aesop modern fiction,1--910301,2015,2015,1.0
172,1,aesop publications,aesop publications,1--910301,2015,2015,1.0
173,1,afb press,afb press,0--89128,2015,2015,1.0
174,1,afb press american foundation for the blind,afb press american foundation for the blind,0--89128,2015,2015,2.0
175,1,afmc press,afmc press,0--9889024,2015,2015,1.0
176,1,afreen international inc,afreen international inc,0--9909284,2015,2015,1.0
177,1,africa world books,africa world books,0--9943631,2015,2015,1.0
178,1,africa world press,africa world press,1--59221,2015,2015,1.0
179,1,african american heritage family tree museum press,african american heritage family tree museum press,1--5194,2015,2015,1.0
180,1,african diaspora press,african diaspora press,0--9844134,2015,2015,1.0
181,1,african studies center university of michigan,african studies center university of michigan,1--60785,2015,2015,2.0
182,1,after glows,after glows,0--9964303,2015,2015,1.0
183,1,afterall books,afterall books,1--84638,2015,2015,1.0
184,1,afton ridge publishing,afton ridge publishing,0--9909860,2015,2015,1.0
185,1,against the clock,against the clock,1--936201,2015,2015,3.0
186,1,agnietta mulima,agnietta mulima,1--5152,2015,2015,1.0
187,1,agora,agora,86--6053,2015,2015,2.0
188,1,agriculture strategy inc,agriculture strategy inc,1--4928,2015,2015,1.0
189,1,agu,agu,1--118,2015,2015,1.0
190,1,agu american geophysical union,agu american geophysical union,1--118;1--119,2015,2015,13.0
191,1,aguilar,aguilar,1--941999,2015,2015,1.0
192,1,ahava press,ahava press,0--9618026,2015,2015,1.0
193,1,ahc media llc,ahc media llc,1--934863,2015,2015,1.0
194,1,ahf publishing,ahf publishing,0--9861672,2015,2015,1.0
195,1,ahima american health information management association,ahima american health information management association,1--58426,2015,2015,2.0
196,1,ahima press,ahima press,1--58426,2015,2015,2.0
197,1,aiga chicago,aiga chicago,0--692,2015,2015,1.0
198,1,ailuros publishing,ailuros publishing,1--938781,2015,2015,1.0
199,1,aint bad editions,aint bad editions,1--944005,2015,2015,1.0
200,1,aip publishing,aip publishing,0--7354,2015,2015,1.0
201,1,air and waste management association,air and waste management association,1--63439,2015,2015,2.0
202,1,airlife publishing,airlife publishing,1--78538,2015,2015,2.0
203,1,airship 27 productions,airship 27 productions,0--692,2015,2015,1.0
204,1,airship entertainment,airship entertainment,1--890856,2015,2015,1.0
205,1,ak press,ak press,1--84935,2015,2015,19.0
206,1,aka publishing,aka publishing,1--942168,2015,2015,1.0
207,1,akakia publications,akakia publications,1--910714,2015,2015,10.0
208,1,akasha publishing ltd,akasha publishing ltd,0--9573695,2015,2015,3.0
209,1,akashic books,akashic books,1--61775,2015,2015,10.0
210,1,ala editions,ala editions,0--8389,2015,2015,14.0
211,1,ala neal schuman,ala neal schuman,0--8389,2015,2015,1.0
212,1,ala techsource,ala techsource,0--8389,2015,2015,4.0
213,1,aladdin,aladdin,1--4424;1--4814;1--58270,2015,2015,47.0
214,1,aladdin abdo spotlight,aladdin abdo spotlight,1--61479,2015,2015,2.0
215,1,aladdin books,aladdin books,1--4424;1--4814,2015,2015,2.0
216,1,aladdin m x,aladdin m x,1--4424;1--4814,2015,2015,3.0
217,1,alain charles asia publishing ltd,alain charles asia publishing ltd,1--910760,2015,2015,1.0
218,1,alan black,alan black,1--5076,2015,2015,1.0
219,1,alan bosley and mary oldham,alan bosley and mary oldham,7--80983,2015,2015,1.0
220,1,alan cristea gallery,alan cristea gallery,0--9932485;0--9575085,2015,2015,2.0
221,1,alan rogers,alan rogers,1--909057,2015,2015,1.0
222,1,alan rogers travel ltd,alan rogers travel ltd,1--909057,2015,2015,1.0
223,1,alana's book line,alana's book line,1--5122,2015,2015,2.0
224,1,alaska northwest books,alaska northwest books,1--943328,2015,2015,1.0
225,1,alastair sawday publishing,alastair sawday publishing,1--906136,2015,2015,4.0
226,1,alazar press,alazar press,0--9793000,2015,2015,1.0
227,1,alba enterprises,alba enterprises,0--692,2015,2015,1.0
228,1,alba publishing,alba publishing,1--910185,2015,2015,1.0
229,1,albert whitman and co,albert whitman and co,0--8075,2015,2015,2.0
230,1,albert whitman and company,albert whitman and company,0--8075;1--5040;1--4976,2015,2015,38.0
231,1,alberto a zalles,alberto a zalles,1--5114,2015,2015,1.0
232,1,albion andalus books,albion andalus books,0--692,2015,2015,1.0
233,1,albright knox art gallery,albright knox art gallery,1--907804,2015,2015,1.0
234,1,albuquerque museum,albuquerque museum,0--9779910,2015,2015,1.0
235,1,alcio n editora,alcio n editora,987--646,2015,2015,1.0
236,1,alden marin,alden marin,1--5089,2015,2015,1.0
237,1,aldrich press,aldrich press,0--692,2015,2015,1.0
238,1,alethia international publications,alethia international publications,0--9864114,2015,2015,1.0
239,1,alethia publishing,alethia publishing,0--9578052,2015,2015,1.0
240,1,alethos press,alethos press,0--9849552,2015,2015,1.0
241,1,alex grayson,alex grayson,1--5425,2015,2015,1.0
242,1,alex james,alex james,1--5141,2015,2015,1.0
243,1,alex lukeman,alex lukeman,1--5078,2015,2015,1.0
244,1,alexa land,alexa land,1--5117;1--4827,2015,2015,2.0
245,1,alexa riley,alexa riley,1--5197,2015,2015,1.0
246,1,alexander books,alexander books,1--57090,2015,2015,1.0
247,1,alexander gray associates,alexander gray associates,0--9861794,2015,2015,3.0
248,1,alexander street press,alexander street press,1--5016,2015,2015,1.0
249,1,alfaguara,alfaguara,1--941999,2015,2015,1.0
250,1,alfred a knopf,alfred a knopf,0--385;0--553;1--101;0--394;0--375;0--307;1--322;0--517;0--679,2015,2015,62.0
251,1,alfred a knopf canada,alfred a knopf canada,0--345,2015,2015,1.0
252,1,alfred ceramic art museum at alfred university,alfred ceramic art museum at alfred university,0--9961205,2015,2015,1.0
253,1,alfred e w mason,alfred e w mason,1--5191,2015,2015,1.0
254,1,alfred music,alfred music,1--4706;1--4574,2015,2015,4.0
255,1,algonquin,algonquin,1--61620,2015,2015,1.0
256,1,algonquin books of chapel hill,algonquin books of chapel hill,1--56512;1--61620,2015,2015,4.0
257,1,algonquin young readers,algonquin young readers,1--61620,2015,2015,4.0
258,1,algora publishing,algora publishing,1--62894,2015,2015,13.0
259,1,alibi,alibi,0--8041;1--101,2015,2015,5.0
260,1,alibi publishing,alibi publishing,0--9967088,2015,2015,1.0
261,1,alice fairbanks burton,alice fairbanks burton,1--5169,2015,2015,2.0
262,1,alice greene and company,alice greene and company,1--935770,2015,2015,1.0
263,1,alice james books,alice james books,1--938584,2015,2015,3.0
264,1,alice mcgladdery,alice mcgladdery,0--9934905,2015,2015,2.0
265,1,alice sabo,alice sabo,1--5171,2015,2015,1.0
266,1,alisha nurse,alisha nurse,0--9931451,2015,2015,3.0
267,1,alison and busby,alison and busby,0--7490,2015,2015,1.0
268,1,alison green books,alison green books,1--4071,2015,2015,6.0
269,1,all due respect,all due respect,1--5233,2015,2015,1.0
270,1,all due respect books,all due respect books,1--5174,2015,2015,1.0
271,1,all good literacies press,all good literacies press,0--692,2015,2015,2.0
272,1,allan jamieson,allan jamieson,0--9757536,2015,2015,1.0
