"";"x"
"1192";5
"1193";5
"1194";5
"1195";3028
"1196";5
"1197";5
"1198";23
"1199";5
"1200";5
"1201";50
"1202";5
"1203";5
"1204";4838
"1205";5
"1206";566
"1207";302
"1208";3027
"1209";3026
"1210";4837
"1211";3025
"1212";4836
"1213";3024
"1214";45
"1215";676
"1216";4835
"1217";3023
"1218";3022
"1219";4834
"1220";4833
"1221";682
"1222";4832
"1223";2
"1224";2
"1225";1061
"1226";496
"1227";4831
"1228";1
"1229";26
"1230";4830
"1231";4829
"1232";4828
"1233";3021
"1234";189
"1235";189
"1236";3020
"1237";494
"1238";4
"1239";4827
"1240";3019
"1241";1
"1242";4826
"1243";196
"1244";1
"1245";4825
"1246";56
"1247";4824
"1248";1301
"1249";1301
"1250";513
"1251";1
"1252";227
"1253";73
"1254";3018
"1255";4823
"1256";675
"1257";675
"1258";3017
"1259";70
"1260";3016
"1261";4822
"1262";438
"1263";438
"1264";438
"1265";4821
"1266";3015
"1267";89
"1268";3014
"1269";233
"1270";528
"1271";295
"1272";295
"1273";295
"1274";295
"1275";221
"1276";3013
"1277";109
"1278";4820
"1279";3012
"1280";4819
"1281";336
"1282";336
"1283";4818
"1284";676
"1285";676
"1286";767
"1287";3011
"1288";248
"1289";4817
"1290";1300
"1291";4816
"1292";4815
"1293";130
"1294";1299
"1295";4814
"1296";1
"1297";1060
"1298";3010
"1299";112
"1300";4813
"1301";4812
"1302";4811
"1303";463
"1304";463
"1305";1059
"1306";4810
"1307";232
"1308";232
"1309";232
"1310";4809
"1311";4808
"1312";3009
"1313";64
"1314";3008
"1315";4807
"1316";4806
"1317";32
"1318";3007
"1319";3006
"1320";3005
"1321";48
"1322";301
"1323";301
"1324";4805
"1325";607
"1326";3004
"1327";730
"1328";730
"1329";50
"1330";4804
"1331";4803
"1332";297
"1333";297
"1334";297
"1335";3003
"1336";26
"1337";4802
"1338";1381
"1339";324
"1340";265
"1341";380
"1342";4801
"1343";4800
"1344";36
"1345";3002
"1346";1298
"1347";1298
"1348";143
"1349";1058
"1350";1058
"1351";12
"1352";1
"1353";1379
"1354";13
"1355";335
"1356";5040
"1357";4799
"1358";394
"1359";455
"1360";68
"1361";3001
"1362";366
"1363";4798
"1364";79
"1365";100
"1366";193
"1367";3000
"1368";2999
"1369";2998
"1370";525
"1371";2997
"1372";1
"1373";674
"1374";94
"1375";4797
"1376";4796
"1377";4795
"1378";2996
"1379";2995
"1380";2994
"1381";2993
"1382";256
"1383";256
"1384";4794
"1385";1297
"1386";139
"1387";4793
"1388";2992
"1389";4792
"1390";4791
"1391";175
"1392";175
"1393";175
"1394";175
"1395";175
"1396";731
"1397";4790
"1398";2991
"1399";1057
"1400";76
"1401";2990
"1402";2989
"1403";2988
"1404";1056
"1405";1296
"1406";2987
"1407";1296
"1408";127
"1409";127
"1410";127
"1411";4789
"1412";27
"1413";4788
"1414";1057
"1415";4787
"1416";565
"1417";2986
"1418";1295
"1419";89
"1420";1
"1421";36
"1422";4786
"1423";1055
"1424";10
"1425";10
"1426";2985
"1427";1054
"1428";1054
"1429";3
"1430";89
"1431";4785
"1432";1216
"1433";200
"1434";4784
"1435";1
"1436";673
"1437";200
"1438";200
"1439";200
"1440";4783
"1441";22
"1442";22
"1443";64
"1444";2984
"1445";13
"1446";4782
"1447";151
"1448";4781
"1449";2983
"1450";2982
"1451";233
"1452";1053
"1453";1053
"1454";233
"1455";2981
"1456";2980
"1457";2979
"1458";1055
"1459";4780
"1460";2978
"1461";675
"1462";1295
"1463";4779
"1464";1052
"1465";1052
"1466";152
"1467";2977
"1468";2976
"1469";89
"1470";4778
"1471";437
"1472";437
"1473";4777
"1474";4776
"1475";2975
"1476";1302
"1477";4775
"1478";2974
"1479";4774
"1480";4773
"1481";92
"1482";4772
"1483";4771
"1484";2973
"1485";2972
"1486";124
"1487";34
"1488";286
"1489";2971
"1490";170
"1491";2970
"1492";4770
"1493";19
"1494";19
"1495";19
"1496";86
"1497";4769
"1498";2969
"1499";2968
"1500";311
"1501";4768
"1502";4767
"1503";80
"1504";80
"1505";4766
"1506";103
"1507";2967
"1508";4765
"1509";2966
"1510";2965
"1511";243
"1512";243
"1513";15
"1514";1051
"1515";319
"1516";319
"1517";319
"1518";2964
"1519";1317
"1520";270
"1521";191
"1522";1
"1523";301
"1524";301
"1525";2963
"1526";1294
"1527";4764
"1528";249
"1529";1293
"1530";177
"1531";2962
"1532";452
"1533";4763
"1534";100
"1535";254
"1536";2961
"1537";157
"1538";1050
"1539";1050
"1540";4762
"1541";148
"1542";2960
"1543";4761
"1544";4760
"1545";1292
"1546";72
"1547";4759
"1548";2959
"1549";2958
"1550";2957
"1551";606
"1552";606
"1553";2956
"1554";436
"1555";436
"1556";436
"1557";436
"1558";72
"1559";72
"1560";72
"1561";72
"1562";72
"1563";72
"1564";1049
"1565";2955
"1566";227
"1567";672
"1568";2954
"1569";4758
"1570";26
"1571";26
"1572";1
"1573";2953
"1574";4757
"1575";94
"1576";4756
"1577";140
"1578";4755
"1579";209
"1580";320
"1581";209
"1582";243
"1583";1
"1584";435
"1585";4754
"1586";2952
"1587";409
"1588";409
"1589";409
"1590";4753
