cluster_id,isbn,record,type
377,0--8070,8,1
378,1--64280,1,1
378,1--68402,1,1
379,1--5004,1,1
380,0--8253,1,1
381,1--319,1,1
381,1--4576,3,1
382,1--57490,1,1
383,0--394,2,1
384,0--674,7,1
385,1--9761,1,1
386,1--62617,6,1
386,0--531,3,1
387,1--948742,1,1
388,1--4108,2,1
388,1--60437,1,1
388,1--61672,1,1
388,1--4509,1,1
389,0--9960803,1,1
390,0--9658028,1,1
391,0--907582,1,1
391,1--84520,1,1
391,1--85973,1,1
392,1--84788,1,1
393,1--78238,1,1
394,0--85745,2,1
394,1--84545,1,1
394,1--306,1,1
394,1--78533,2,1
395,0--515,1,1
396,0--441,3,1
396,0--425,29,1
397,0--698,1,1
397,0--515,1,1
397,0--425,13,1
398,1--78239,1,1
399,0--05,1,1
400,0--425,8,1
400,0--451,1,1
401,0--515,2,1
402,0--425,2,1
403,0--425,1,1
404,0--441,2,1
404,0--399,1,1
404,0--515,1,1
405,1--4406,1,1
405,0--425,2,1
405,1--4362,1,1
406,1--62656,1,1
407,0--7890,1,1
408,0--9862515,1,1
409,1--60220,1,1
410,1--4403,1,1
411,0--9618828,1,1
412,0--7506,1,1
413,1--56320,1,1
414,1--62956,1,1
415,1--925186,1,1
415,1--925247,1,1
416,0--13,1,1
417,1--78741,1,1
418,0--8323,1,1
419,0--9842003,1,1
420,0--8176,1,1
421,3--7643,1,1
422,0--85790,1,1
423,1--78027,1,1
424,1--84954,1,1
425,1--78590,1,1
426,1--908524,1,1
427,0--9632908,1,1
428,0--9715404,1,1
429,1--57912,2,1
429,0--316,1,1
430,1--908966,1,1
431,1--936891,1,1
432,1--62557,1,1
433,1--84154,1,1
433,1--84970,1,1
433,0--7434,1,1
433,1--84416,1,1
434,0--88739,1,1
435,0--692,1,1
436,1--61296,1,1
437,0--87685,4,1
438,1--61277,1,1
438,1--306,1,1
439,1--78416,2,1
439,0--552,1,1
440,0--9833933,1,1
441,0--665,1,1
442,0--631,12,1
442,1--4051,4,1
442,1--55786,1,1
443,0--470,5,1
444,0--632,1,1
445,0--631,2,1
446,0--470,1,1
446,1--4443,1,1
446,0--86542,1,1
447,0--567,11,1
447,1--4411,4,1
447,1--4742,27,1
447,1--59990,1,1
447,1--4729,9,1
447,1--63286,2,1
447,1--4725,25,1
447,0--7475,3,1
447,1--4088,7,1
448,1--62892,1,1
448,1--350,21,1
448,1--306,1,1
448,1--4742,14,1
448,1--4965,1,1
448,1--78093,1,1
448,1--84966,1,1
448,0--8264,1,1
448,1--5013,4,1
448,1--62403,1,1
448,1--4725,12,1
448,1--4411,1,1
449,1--350,7,1
450,1--4725,1,1
451,1--4725,1,1
451,1--904271,1,1
451,1--4742,1,1
452,1--85471,1,1
453,1--4725,1,1
453,1--4742,1,1
454,1--870630,1,1
455,1--62040,1,1
455,1--4088,1,1
456,1--4729,1,1
456,1--4081,1,1
457,1--4725,1,1
457,1--350,2,1
457,1--4081,1,1
458,1--4729,1,1
459,1--4088,1,1
459,1--60819,1,1
460,1--63286,1,1
461,1--62892,1,1
461,1--5013,3,1
461,1--63557,1,1
462,1--5099,2,1
462,0--567,2,1
462,1--350,15,1
462,1--4742,9,1
462,1--4965,1,1
462,1--78093,1,1
462,1--4081,1,1
462,1--84966,1,1
462,1--4729,3,1
462,1--904271,1,1
462,1--62403,1,1
462,1--4725,5,1
462,1--4088,1,1
463,1--4482,1,1
464,1--4729,1,1
465,1--4729,1,1
