cluster_id,isbn,record,type
388,1--84545,1,1
389,0--515,1,1
390,0--441,3,1
390,0--425,29,1
391,0--698,1,1
391,0--425,13,1
391,0--515,1,1
392,1--78239,1,1
393,0--05,1,1
394,0--451,1,1
394,0--425,8,1
395,0--515,2,1
396,0--425,2,1
397,0--425,1,1
398,0--441,1,1
398,0--515,1,1
399,0--399,1,1
399,0--441,1,1
400,0--425,2,1
400,1--4406,1,1
400,1--4362,1,1
401,1--62656,1,1
402,0--7890,1,1
403,0--9862515,1,1
404,1--60220,1,1
405,1--4403,1,1
406,0--9618828,1,1
407,0--7506,1,1
408,1--56320,1,1
409,1--62956,1,1
410,1--925186,1,1
410,1--925247,1,1
411,0--13,1,1
412,1--78741,1,1
413,0--8323,1,1
414,0--9842003,1,1
415,0--8176,1,1
416,3--7643,1,1
417,0--85790,1,1
418,1--78027,1,1
419,1--84954,1,1
420,1--78590,1,1
421,1--908524,1,1
422,0--9632908,1,1
423,0--9715404,1,1
424,1--57912,2,1
425,1--908966,1,1
426,1--936891,1,1
427,1--62557,1,1
428,1--84416,1,1
428,1--84970,1,1
429,0--88739,1,1
430,0--692,1,1
431,1--61296,1,1
432,0--87685,4,1
433,1--306,1,1
433,1--61277,1,1
434,0--552,1,1
434,1--78416,2,1
435,0--9833933,1,1
436,0--665,1,1
437,0--631,12,1
437,1--4051,4,1
437,1--55786,1,1
438,0--470,3,1
439,0--632,1,1
440,0--631,2,1
441,0--470,2,1
442,0--86542,1,1
442,1--4443,1,1
442,0--470,1,1
443,1--4729,4,1
443,1--63286,2,1
443,1--4411,4,1
443,1--4742,9,1
443,1--4725,13,1
443,1--4088,7,1
443,0--7475,3,1
443,1--59990,1,1
443,0--567,7,1
444,1--350,16,1
444,1--306,1,1
444,1--4411,1,1
444,1--4742,6,1
444,1--4725,6,1
444,1--5013,2,1
444,1--62892,1,1
444,0--8264,1,1
445,1--350,7,1
446,1--4725,1,1
447,1--85471,1,1
448,1--870630,1,1
449,1--4088,1,1
449,1--62040,1,1
450,1--4729,1,1
451,1--350,1,1
451,1--4725,1,1
451,1--4081,1,1
452,1--60819,1,1
452,1--4088,1,1
453,1--63286,1,1
454,1--63557,1,1
455,1--4088,1,1
456,1--4482,1,1
457,1--4729,1,1
458,0--567,2,1
459,0--567,3,1
460,1--4742,1,1
460,1--4725,1,1
461,1--350,2,1
462,1--4729,1,1
463,1--68308,1,1
464,0--936185,1,1
465,0--545,1,1
466,0--912652,1,1
467,1--5098,1,1
468,1--933346,1,1
469,0--312,1,1
470,1--68188,1,1
471,1--60796,1,1
472,0--925299,1,1
473,1--55850,1,1
474,0--672,1,1
475,1--78230,1,1
475,0--670,1,1
475,0--465,1,1
475,1--84792,1,1
476,1--62639,1,1
477,0--517,1,1
478,1--59955,1,1
479,1--910508,2,1
480,1--911242,1,1
480,1--910706,2,1
