ID,ISBN,Publisher
907456159,1--4443,wiley blackwell
1084273280,0--930315,educational communications inc
51783144,0--439,scholastic
1066011537,0--309,national academies press
880201302,0--14,penguin bookspuffin books
1001456423,0--12,academic press
912379053,1--138,routledge taylor and francis group
1028579392,1--935002,aftershock comics
886483971,1--59474,quirk books
1051778107,0--8153,routledge
758374719,0--552,corgi books
440668307,0--324,south western
947930465,0--8010,baker books
873725508,1--349,palgrave macmillan
873725508,1--137,palgrave macmillan
839402448,1--4636,grandmaster myung yong kim
889304711,1--939563,primal blueprint publishing
913812445,1--63045,nyq books
952161556,1--4052,egmont uk limited
957512189,1--84869,little tiger press
849340525,0--8330,rand corporation
965921651,0--521,cambridge university press
858949846,1--4538,jk mcenroe
1027986392,1--78100,edward elgar
1027986392,1--84844,edward elgar
929085620,1--84859,commonwealth secretariat
929085620,0--85092,commonwealth secretariat
891383549,1--315,routledge
891383549,1--317,routledge
904962985,1--907982,quality chess
910608847,1--60058,walter foster jr
52163326,0--7232,frederick warne
491614680,0--85115,boydell press
879262317,0--674,harvard university asia center
899010237,1--4832,academic press inc
4056559,0--201,addison wesley pub co
1002060738,0--9709046,playscripts inc
25980245,0--262,mit press
34308741,0--7505,magna large print books
690237234,0--470,wiley pub inc
865083533,1--84739,pocket books
865083533,0--7432,pocket books
1083721123,1--944602,thanet house publishing
1049750730,0--201,addison wesley pub co
1059173379,0--316,little brown and company
664332780,1--907002,dublin city public libraries
1013441464,0--415,routledge
932622748,1--317,routledge taylor and francis group
933737831,0--553,bantam books
1083920163,1--108,cambridge university press
809886790,0--9819575,montserrat college of art
441667264,0--471,j wiley and sons
37271053,0--553,bantam books
904531577,1--85332,hayward publishing
898476842,0--472,university of michigan press
948835330,0--9926695,london borough of lambeth and the lambeth local history forum
754714777,0--231,columbia university press
214336,0--8046,kennikat press
1029571319,1--107,cambridgeuniversity press
866887852,90--04,brill
872368681,1--62013,duke classics
1048461197,1--4939,humana press
32874697,0--7897,que
4903039,0--930368,national lampoon magazine
908323221,1--4104,wheeler publishing
1097127054,0--691,princeton university press
1098181078,1--60738,taller del e xito
24640739,0--262,mit press
262884717,0--06,harper
503259532,0--88411,amereon house
879611958,1--4555,grand central publishing hachette book group
879358649,0--606,turtleback books
1055597864,1--84694,o books
1018114699,1--78657,lonely planet
886672140,1--62841,spie press
893676737,1--315,routledge
1029058328,1--9841,createspace independent publishing platform
803522690,0--13,addison wesley
803522690,0--321,addison wesley
1089836239,1--338,scholastic
607478698,1--58741,wellness institute
1082580369,0--665,s e cassino
884587091,1--4988,gideon informatics inc
299648154,0--471,j wiley
964435031,0--8024,moody press
1006293850,3--662,lightning source uk ltd
862285703,0--521,cambridge university press
1048050143,1--250,minotaur books
945948898,1--907804,frick collection
878138985,1--134,routledge
878138985,1--315,routledge
1031422499,0--8135,rutgers university press
213455193,0--8223,duke university press
213455193,1--283,duke university press
857067496,0--203,routledge
857067496,0--7007,routledge
857067496,1--136,routledge
857067496,0--415,routledge
223904619,0--00,harpercollins
946976930,1--138,routledge taylor and francis group
729248909,1--4487,scholastic
729248909,0--545,scholastic
729248909,0--329,scholastic
951900052,1--138,routledge
948597800,1--62892,bloomsbury academic
843022368,1--299,fawcett books
1818121,0--915782,little brown house publishing company
1090301561,0--429,routledge
946605586,0--335,open university press mcgraw hill education
1019684612,1--62692,seven seas entertainment
875200339,0--931745,dunwoody press
1097091675,0--8229,university of pittsburgh press
1037650024,1--899287,palgrave macmillan
823260543,0--545,scholastic
1031501909,1--4063,walker books ltd
899253325,1--4440,orion
690282723,0--521,cambridge university press
868436840,3--0343,p lang
1041899578,3--96171,teneues
1058894887,1--4684,plenum press
967096350,1--4222,mason crest
1054260528,1--350,bloomsbury academic bloomsbury publishing plc
872549502,1--4668,st martin's press
1089804754,1--9832,createspace independent publishing platform
1082793133,1--4426,university of toronto press
1037644625,1--351,routledge
1054261029,1--63388,prometheus books
876684680,1--4778,thomas and mercer
17875329,0--936784,j daniel
1055014452,90--04,brill
896874814,1--84920,sage
906817112,1--55937,ieee
1010505435,1--108,cambridge university press
355281636,1--60686,disney hyperion books
355281636,0--7868,disney hyperion books
27042281,0--395,houghton mifflin
964571687,1--305,cengage learning
690287250,0--300,yale university press
1085545203,1--5417,publicaffairs
939502405,1--4094,ashgate publishing limited
1058987876,0--8223,duke university press
883432064,0--590,windmill
883432064,0--13,windmill
883432064,0--694,windmill
883432064,0--87807,windmill
225316609,1--4056,bbc audiobooks
849286380,0--446,warner books
530930808,0--7862,thorndike press
319788012,0--7089,linford
866816343,1--937846,sasc llc
869053045,0--88010,anthroposophic press
1051771215,0--573,samuel french
936528057,90--8964,amsterdam university press
1017756731,1--5394,createspace independent publishing platform
870989371,1--4516,simon and schuster
870989371,1--4767,simon and schuster
1037096281,1--5247,hogarth
1030942493,1--5104,hodder education an hachette uk company
456829867,1--4431,scholastic canada
1043688249,0--545,scholastic inc
5105929,0--00,collins
35802598,0--521,cambridge university press
945657338,1--4843,international monetary fund
60749341,0--585,mit press
68133166,1--55659,copper canyon press
10952283,0--14,penguin
1033552823,1--4494,andrews mcmeel publishing
1007033774,0--19,oxford university press
937417677,0--393,w w norton
922583003,1--4559,national fire protection association
1012075924,1--74360,lonely planet publications pty ltd
886477952,1--61620,algonquin young readers
609529892,0--88464,braun center for holocaust studies and martin gilbert
1055761118,1--4426,university of toronto press
891449696,0--203,routledge
891449696,1--134,routledge
1035134554,0--553,bantam books
1042353515,1--302,marvel worldwide inc a subsidiary of marvel entertainment llc
903907799,0--307,vintage books
232661479,0--89862,guilford press
1029568655,1--944229,wnd books
1028005538,0--85793,edward elgar
1028005538,1--84844,edward elgar
938397828,0--414,thomson reuters sweet and maxwell
914290607,1--305,cengage learning
1082158307,1--4724,gower
23085734,0--7063,sterling pub co
1031950722,1--250,picador
894171061,1--4094,ashgate
809419262,1--84617,f a thorpe
12949795,0--7451,chivers press
12949795,0--89340,chivers press
1020312821,1--138,routledge
1020312821,1--317,routledge
917246918,0--345,ballantine books
1028007009,1--84376,edward elgar
1028007009,1--84542,edward elgar
421601015,0--380,avon books
16226653,0--89281,destiny books
1257123,0--8193,parents' magazine press
29230913,0--373,silhouette
283806336,0--19,oxford university press
938849350,0--316,mulholland books little brown and company
826899108,1--61783,abdo publishing company
884832901,1--58547,center point large print
237130722,0--670,bodley head
951526278,1--349,palgrave macmillan
867076164,0--8071,louisiana state university press
1054829231,1--338,scholastic inc
462098195,0--8010,baker book house
1037883890,1--138,routledge
7443179,0--8478,rizzoli
1038156179,0--590,scholastic inc
520835052,1--84148,barefoot books
951509546,0--9972899,double take
896610703,0--571,faber and faber
8169798,0--8161,g k hall
36802724,0--06,harperperennial
957135011,1--911512,helion and company limited
495306636,3--11,w de gruyter
1055653961,1--4063,walker books
1074283131,0--06,katerine tegen
892973302,1--85833,john hinde ltd
910513241,0--415,routledge
867131784,0--415,routledge
758318161,0--12,academic press
1029330170,0--517,cresent books
1000302672,1--5470,createspace independent publishing platform
26252204,1--55817,pinnacle books
912317060,1--78439,packt publishing
940521063,1--78029,cre me de la crime
769591610,0--395,houghton mifflin
913768348,1--4671,arcadia publishing
1001369724,0--691,princeton university press
1001369724,1--4008,princeton university press
913955693,1--315,routledge
913955693,1--317,routledge
173513029,0--09,arrow books
491871969,0--226,university of chicago press
1045458312,1--78548,iste press ltd
52458902,0--88899,douglas and mcintyre
881656539,1--61200,casemate publishers
12573455,0--380,avon
875096862,1--315,routledge taylor and francis
875096862,1--317,routledge taylor and francis
1029345898,0--14,viking
881663085,1--4696,university of north carolina press department of romance languages
1033605383,1--78493,qeb
1033605383,1--68297,qeb
939502574,0--8157,brookings institution press
880456666,0--334,scm press
427309003,0--8398,literature house
41638519,0--9658028,beowulf
899253143,1--78185,head of zeus
881284057,1--4660,smashwords edition
1086946164,0--674,harvard university press
921175516,90--04,rodopi
493813085,0--596,o'reilly
1050113633,1--338,scholastic inc
440838808,0--19,humanities research centre
243466092,0--9614574,teaching inc
219833822,0--394,grove
1032369379,1--64080,harmony ink
1058480280,0--7494,kogan page
918910737,0--9864304,dynamama
1030898549,0--8173,university alabama press
1088512197,1--350,bloomsbury academic
1009042504,1--78676,burleigh dodds science publishing
1009042504,1--351,burleigh dodds science publishing
945740076,0--19,oxford university press
922528392,0--7456,polity press
4266381,0--297,weidenfeld and nicolson
938666,0--85456,ulverscroft
20012936,0--316,little brown
1058401549,1--4527,international monetary fund
1058401549,1--280,international monetary fund
1058401549,1--4519,international monetary fund
1058401549,1--4552,international monetary fund
874151559,1--315,routledge
1037897523,1--4965,stone arch books
944312745,1--5098,macmillan children's books
1083181501,1--5106,spie press
911138588,1--5089,cynthia valero
220972309,0--00,collins
42014132,1--57566,kensington books
319897458,0--8161,g k hall
1080520153,0--7166,world book inc
899253013,1--59572,star bright books
877017789,1--78064,cabi
1090297486,0--19,oxford university press
889315930,1--315,routledge
889302120,0--906094,gibb memorial trust
785134075,1--4094,ashgate
1044556809,0--415,routledge
1044556809,1--315,routledge
1044556809,1--317,routledge
966185943,0--345,ballantine books
319757366,0--312,chivers press
319757366,0--7540,chivers press
34750057,0--912696,wilton enterprises
962878492,0--440,dell
1081080717,1--78040,iwa publishing
960950773,0--545,scholastic inc
935954212,0--9969550,j b reid
929447156,0--86526,state archives of north carolina
436094760,0--435,heinemann educational books
644553683,1--4165,gallery books
1022980851,1--250,minotaur books
891654735,1--118,wiley blackwell
39744454,0--8125,tor
1016503658,1--4165,scribner
1082869113,1--302,marvel worldwide inc
224372970,1--84413,pimlico
1027549148,0--226,university of chicago press
861326748,1--59707,papercutz
907957368,0--07,mcgraw hill education
490721727,0--87436,abc clio
17334496,0--7278,severn house
1057241218,0--674,belknap press of harvard university press
951800843,1--4665,crc press
921867654,1--84893,routledge
921867654,1--315,routledge
3356665,0--671,pocket books
859777256,0--8050,henry holt and company square fish imprints of macmillan
795356436,0--14,sleuth speak
813410306,0--9832209,mary goulet media
406442653,0--425,berkley pub co
1085905635,1--335,love inspired books
4570670,0--03,holt rinehart and winston
907161121,1--63152,she writes press
922577064,0--547,hmh books
757076050,0--19,clarendon press
490516560,0--521,cambridge university press
1056993153,1--55783,applause theatre books
874147372,1--62948,nova science publishers incorporation
19245417,0--944276,tudor pub co
905597712,1--63421,duke classics
422101808,0--374,octagon books
954554292,1--138,routledge taylor and francis group
794603960,0--8070,beacon press
874172573,1--315,routledge
712016146,0--7867,basic books a member of the perseus books group
967210128,1--4724,routledge
904239378,1--60635,kent state university press
56664594,0--87508,christian literature crusade
904421869,0--7851,marvel worldwide inc
953027922,90--04,brill
891385063,1--312,sheba blake publishing
814412324,0--7858,castle books
4560059,0--8478,rizzoli international publications inc
927130659,1--910173,scholastic ltd
905523493,1--78023,reaktion books ltd
1085238825,1--78831,i b tauris
1085238825,1--78813,i b tauris
785631225,1--59961,tokyopop
1011658148,0--674,harvard university press
8929731,0--690,crowell
964425345,0--7089,f a thorpe publishing ltd
906704712,1--4976,open road integrated media
878138628,1--315,routledge
893439613,1--4766,mcfarland
967392348,1--137,palgrave macmillan
9510727,0--7089,ulverscroft
759473527,1--4104,gale cengage learning
365353207,0--14,penguin books
947134305,1--77188,apple academic press
947134305,1--315,apple academic press
865579087,1--136,routledge
34426711,0--425,berkley prime crime
318382654,0--385,dial press
858011375,1--84668,profile books
858011375,1--84765,profile books
947147883,1--4994,windmill books
863278695,0--19,oxford university press
869549592,0--295,university of washington press
1088443736,1--84545,berghahn books
492104366,0--8194,spie
899596282,0--87516,devorss and company
503184011,0--446,warner books
68190637,0--14,penguin books
1042075853,1--138,routledge
190863800,1--57910,wipf and stock
25753696,0--7924,mallard press
11623830,0--87795,arbor house
727648641,1--84694,o books
107215,0--671,simon and schuster
859161054,0--8122,university of pennsylvania press
915730978,1--78328,packt publishing
878024188,1--138,routledge
929592778,1--942185,radius books
960836493,1--61902,counterpoint
889248648,0--691,princeton university press
889248648,1--4008,princeton university press
889311823,0--511,cambridge university press
894834327,1--84970,black library
1042563263,0--309,transportation research board
408962882,0--9647169,yawna
490055686,0--394,vintage
883904468,1--884097,jef books journal of experimental fiction depth charge
904314496,0--8229,university of pittsburgh press
897744011,0--07,mcgraw hill
1055736840,0--9540773,nsf scotland
51103119,1--282,indiana university press
51103119,0--253,indiana university press
18850321,0--445,mysterious press
920793208,1--138,routledge
920793208,1--315,routledge
884800520,1--60559,hameray publishing group
6837234,0--85340,wayland
23816913,0--446,warner books
864822097,1--306,mit press
864822097,0--262,mit press
712989974,1--60780,world trade press
490180046,0--7923,kluwer academic publishers
961600948,1--78328,packt publishing ltd
1049737043,0--89356,salem press
17692032,0--380,avon
910655271,1--78157,ilex
913581516,1--4384,state university of new york press
83388014,0--670,penguin books australia
781174163,0--19,clarendon press
21162781,0--262,new museum of contemporary art
1057232598,1--68404,norwood house press
1057232598,1--59953,norwood house press
491077420,1--4419,kluwer academic publishers
1043409631,0--7045,wildwood house
951632080,1--4983,international monetary fund
912320734,0--295,university of washington press
932464090,0--7303,john wiley
932464090,1--119,john wiley
21254861,0--553,bantam books
1029309403,1--315,routledge
441732513,0--8039,sage
405169,0--8044,frederick ungar publishing co
947740561,0--8478,acquavella galleries
1084876719,0--226,university of chicago press
690409332,3--211,springer
930876776,1--60734,imagine publishing
883869004,0--19,oxford university press
1084780944,1--4787,outskirts press
869052543,0--313,greenwood press
866887908,0--230,palgrave macmillan
900472895,1--321,university of california riverside
6060733,0--14,penguin books ltd
761861435,1--4199,ellora's cave pub
1008758326,0--910704,w m hawley
1014278114,1--5011,scribner
225870893,0--345,ballantine
891398432,1--78284,sussex academic press
1021289704,0--8077,teachers college press
31118723,0--7089,linford
1084358523,1--250,st martin's press
13824905,0--87720,amsco
1096378096,958--781,editorial pontificia universidad javeriana
922528600,0--19,oxford university press
10363483,0--8071,louisiana state university press
1047329403,0--8173,university alabama press
908683677,0--691,princeton university press
492915075,0--7506,elsevier
2794925,0--239,adams and dart
864434273,1--62365,quercus
1060536241,0--618,houghton mifflin
1053531187,1--912234,adonis and abbey publishers ltd
1037800338,1--351,psychology press
1054787298,1--7174,createspace independent publishing platform
1052833157,0--03,holt rinehart and winston inc
864788227,0--7582,dafina books
154226832,0--683,williams and wilkins
874095010,1--4302,apress
965565426,1--60357,norwood house press
965565426,1--59953,norwood house press
600992977,1--60705,c and t publishing
1041232533,0--19,oxford university press
939502202,0--8047,stanford university press
4539164,0--448,grosset and dunlap
16756998,1--55504,chivers press
16756998,0--7451,chivers press
865074335,1--118,wiley blackwell
1014475990,1--78046,dunedin
491511124,0--333,macmillan press
874171816,1--315,routledge
7008410,0--531,warwick press
1033532268,1--78548,iste press
962752590,1--315,routledge
882247995,1--306,routledge
882247995,1--315,routledge
882247995,1--317,routledge
77426114,0--665,d appleton
1056264912,0--306,kennedy graphics
1037689229,0--415,routledge
10726892,0--14,penguin books
859187724,1--60078,triumph books
1057733639,0--367,routledge taylor and francis group
864483448,0--7089,f a thorpe
1023742606,0--316,little brown and co
1088879374,1--911583,urbane publications
1056523062,0--252,university of illinois press
44671600,0--517,gramercy books
6283053,0--553,bantam books
950004637,1--138,routledge taylor and francis group
932853920,0--9575476,pg press
317508285,0--88776,tundra books
1031910317,1--250,st martin's paperbacks
904326691,0--06,harperperennial
945695767,0--309,national academies press
899002276,0--08,academic press
503229765,0--87857,shopsmith
835960100,1--908800,head of zeus
5842905,0--553,bantam
960211045,1--4849,createspace
1039432071,0--9626829,r e i press
921247888,1--5148,gina la bruye re
893673643,1--118,wiley blackwell
899001062,1--4831,pergamon press ltd
77393811,0--665,j lane
909883438,0--8037,dial books for young readers
909883438,1--101,dial books for young readers
252583786,0--19,oxford university press
897508737,606--93380,punctum
44001134,0--9625254,horizon business press
1031248161,0--19,clarendon press
868927968,3--0353,peter lang
1015345478,0--06,harpertrophy
904329795,0--933256,second chance press
919222318,1--4997,createspace
1055450823,1--316,cambridge university press
1055450823,1--107,cambridge university press
1032363936,1--4557,elsevier saunders
1032363936,1--4377,elsevier saunders
862225594,0--15,harcourt brace jovanovich
1071791697,0--19,oxford university press
677056,0--520,university of california press
1042239752,0--14,dutton children's books
877299134,0--7506,bh newnes
1005755334,1--137,palgrave macmillan
958098110,1--78470,vintage
780337208,1--4083,orchard books
639997544,0--913276,stone wall press
952701430,1--882382,responsible management inc
1052689529,0--590,scholastic
863039533,0--230,palgrave macmillan
1007416781,1--4422,rowan and littlefield
857879039,0--7391,lexington books
496415994,0--567,t and t clark
934602401,1--316,cambridge university press
934602401,1--107,cambridge university press
53301457,0--521,cambridge university press
35273370,1--56850,chicago plays
1041076670,1--68221,astm international
903956290,1--4398,crc press
904310180,1--4755,international monetary fund
882718156,1--928136,inheritance publications
853618672,0--7494,kogan page
938788701,1--5025,createspace independent publishing platform
77553011,0--448,grosset and dunlap
905344672,0--571,faber and faber
1007411013,0--691,princeton university press
43638651,0--88019,schmul pub co
351324698,1--4128,transaction publishers
964566918,1--68191,rourke educational media
903763554,0--325,heinemann
920466382,1--4985,lexington books
1002211554,1--58834,smithsonian books
1037619988,0--932627,aiha press
123364,0--8369,books for libraries press
944983004,1--4987,crc press
8804530,0--87997,daw books inc
421683781,1--57768,mcgraw hill children's publishing
952176921,0--544,houghton mifflin harcourt
952176921,0--395,houghton mifflin harcourt
859348139,0--545,scholastic inc
60423612,0--439,scholastic teaching resources
1012041698,1--4781,createspace
1011188949,0--316,little brown and company
864531134,1--4054,parragon
1083249401,1--4548,wolters kluwer
636018632,0--674,harvard university press
63186424,0--7582,kensington
317794674,0--7088,macdonald
951158062,0--8229,university of pittsburgh press
915041715,0--309,national academies press
221428978,0--8152,crowell
11127568,0--380,avon books
1035767479,1--5234,kylie young
1089469308,0--679,random house
875414427,1--4976,open road integrated media
1051437376,1--63440,red chair press
880566095,1--4985,lexington books
880566095,0--7391,lexington books
263615402,0--631,blackwell
874156036,0--203,routledge
892695194,0--8147,new york university press
10704388,0--449,ballantine
901044,0--394,random house
299209551,0--553,bantam books
427446679,0--585,world bank
962486507,1--78262,royal society of chemistry
1055433725,1--108,cambridge university press
949269314,1--4838,carson dellosa publishing llc
261615492,0--86283,bramley books
1028007499,1--78536,edward elgar pub
957983721,0--905169,poolbeg press
229192903,0--917561,adler and adler
914162436,1--336,mit press
914162436,0--262,mit press
868397330,1--4804,open road media
908063118,0--300,yale university press
16696970,1--85089,clio press
1047526173,0--7548,lorenz books
933753957,1--84217,oxbow books
907599733,3--11,de gruyter
58918624,1--84416,black library
492325087,0--306,kluwer academic plenum publishers
896393686,3--642,springer
55023193,1--57222,barcharts inc
928631906,0--8215,william h sadlier inc
1021404643,0--691,princeton universitypress
1021404643,1--4008,princeton universitypress
966563483,1--316,cambridge university press
1082254186,1--315,routledge
1007925012,0--8153,routledge
1001967899,1--107,cambridge university press
1051727567,0--262,mit press
1013330120,1--55587,lynne rienner
495223463,0--415,routledge
1063609645,0--7546,routledge
1063609645,1--351,routledge
491677602,0--471,j wiley and sons
1014203807,0--7456,polity
900595366,0--8330,rand corporation
910111220,1--4214,johns hopkins university press
959609587,3--11,de gruyter
859192643,1--4711,simon and schuster
897388220,1--62798,dreamspinner press
939502785,1--61451,de gruyter
891382206,1--315,routledge
891382206,1--317,routledge
865495046,90--04,brill
964597489,0--674,harvard university press
1048060042,1--68369,quirk books
826458621,1--4104,thorndike press
893157631,1--4391,touchstone simon and schuster
962436728,0--241,penguin books
944157688,0--486,dover publications inc
1051459517,1--62105,eraserhead press
913486741,0--9894814,warren publishing inc
1004225526,1--64113,iap information age publishing inc
910972822,1--84885,i b tauris
493417730,0--231,columbia university press
1019747146,0--06,william morrow
153339103,0--7445,walker books
695605029,0--452,penguin group
871789648,1--940430,curbside splendor publishing inc
1077287841,1--68329,highlights for children inc
953418216,1--60047,cayuga lake books
1051190971,1--5013,fairchild books
884585693,1--78383,seaforth publishing
890115672,1--78067,laurence king publishing ltd
937982356,0--8090,hill and wang
945648849,1--4549,sterling children's books
945730665,1--4665,crc press taylor and francis group
929084357,1--84859,commonwealth secretariat
929084357,0--85092,commonwealth secretariat
57714433,0--439,scholastic
48234633,1--57856,waterbrook press
935833304,0--07,mcgraw hill custom publishing mcgraw hill ryerson
212627243,0--439,scholastic
900168232,92--1,united nations publications
1043447236,0--545,scholastic
1031053669,1--4384,state university of new york press
1021378358,0--8122,university of pennsylvania press
793862542,0--88133,waveland press
33295299,0--393,norton
920370639,0--13,prentice hall
35919451,0--7089,ulverscroft
957705143,0--8173,university of alabama press
925496422,0--85763,nosy crow
1065339182,0--9576189,leitrim county council arts office
921272200,1--939755,deep university press
427450099,0--13,sunsoft press
1063531522,1--4939,humana press
958070185,0--9908741,toes in the water publishing llc
1012137034,1--299,pearson
1012137034,0--273,pearson
906599243,0--14,penguin books
83652399,0--917526,olearius editions
495195114,1--84227,paternoster
52570268,1--4104,walker large print
947805185,1--4919,o'reilly
829989234,1--62636,skyhorse publishing
964584380,0--8071,louisiana state university press
1047577800,1--4988,gideon informatics inc
1084601169,1--4169,atheneum books for young readers
40730058,0--449,fawcett crest books
70781355,0--333,macmillan
1035767682,1--4059,puffin books
816919256,0--471,j wiley
1041565199,0--679,alfred a knopf
1041565199,0--394,alfred a knopf
1066738932,1--9845,xlibris
915042075,0--7188,lutterworth press
868130695,1--84614,a lane
866049057,0--7787,crabtree publishing company
865900,0--684,scribner
1005117564,1--5095,polity press
1029739739,1--78347,edward elgar publishing limited
821698940,1--4071,scholastic children's books
870300907,0--9924032,april barker
1057608867,1--60699,fantagraphics books
1054115443,1--912091,shannon trust
896858320,1--4649,scholarlyeditions
1005106156,1--107,cambridge university press
889254600,0--691,princeton university press
889254600,1--4008,princeton university press
953456228,0--19,oxford university press
651183640,0--306,da capo
931850366,0--8071,louisiana state university press
1041839213,1--4729,bloomsbury education
768771296,1--139,cambridge university press
24209183,0--451,penguin books
908063118,0--300,yale university press
961186470,0--8222,dramatists play service inc
655491448,1--55597,graywolf press
315544310,0--340,teach yourself
1091124575,1--250,henry holt and company
77468261,0--665,s bagster
879475644,0--415,routledge
957766559,3--0343,peter lang
1050868981,1--68036,fountainhead press
1002195743,1--4402,krause publications
1051776824,1--138,routledge
494055742,1--55813,hudson institute
20759728,2--205,dargaud
870334058,0--19,oxford univ press
854767181,1--874241,cavendish pub
36428825,1--56731,mjf books
8157953,0--86009,magna print books
1037770292,1--4057,lexisnexus
912319319,1--138,routledge
912319319,1--315,routledge
912319319,1--317,routledge
880462256,3--7913,prestel
936881554,1--5040,permanent press
62762969,0--7876,gale
1042850615,1--63235,12 story library
865268669,1--4104,gale cengage learning
883180858,0--462,marshall cavendish elt
758263539,0--7506,butterworth heinemann
603913629,0--394,knopf
45953052,1--56246,johnson institute
1027666454,0--8024,moody press
1016079232,0--15,sandpiper
896838783,1--4831,pergamon press
1060698181,1--4424,simon pulse
937650477,0--393,w w norton and co
7464001,0--14,penguin books
490767342,0--387,springer
1089253809,1--910643,nafems
1035564773,0--691,princeton university press
10185657,0--307,golden press
60811161,0--9645867,astral
37930821,0--416,methuen
1056980271,1--138,routledge
1038563873,0--13,prentice hall
4158885,0--441,ace books
27063424,0--7451,chivers press
1061861088,1--58970,lakeshore learning materials
52987650,0--8220,john wiley and sons
1009049090,90--04,brill
890324351,1--4939,springer
1090755025,1--61547,holy macro books
934188621,1--5175,createspace independent publishing platform
788990610,0--19,clarendon press
495225145,1--84002,oberon books
853009059,1--933675,dos madres press inc
1089551925,0--7653,tor
47861643,0--7679,broadway books
935194980,0--9905935,pioneer works press
903091439,0--415,george allen and unwin
1031045398,1--138,crc press
1031045398,1--351,crc press
839661024,1--61756,e reads
1009182419,1--108,cambridge university press
17543484,0--8335,harper and row
17543484,0--06,harper and row
29780282,0--373,harlequin
646918186,1--4518,international monetary fund imf institute
646918186,1--281,international monetary fund imf institute
490151971,0--14,penguin books
809725970,1--84617,f a thorpe
908738889,1--306,ashgate publishing company
908738889,1--4724,ashgate publishing company
908738889,1--4094,ashgate publishing company
921300590,0--14,penguin books
427342886,0--333,macmillan
6033044,0--7089,ulverscroft
18632481,0--590,scholastic book services
897776036,1--250,picador farrar straus and giroux
1044517363,1--138,routledge
1044517363,1--315,routledge
1044517363,1--317,routledge
866922413,1--4471,springer verlag
2376851,0--582,longman
8169951,0--8161,g k hall
455867647,0--387,springer
55135978,0--618,houghton mifflin
762190318,0--396,dodd mead and company
947075271,1--4982,cascade books
9418023,0--85312,e horwood
871745551,0--231,columbia university press
875708179,0--06,harper and row
864454587,1--902618,element children's books
1009018638,1--302,marvel worldwide a subsidiary of marvel entertainment llc
1046978527,1--61205,paradigm publishers
878794179,1--84990,bbc books
648484920,1--84908,osprey pub
493512315,0--444,elsevier
921934220,0--325,heinemann
1083885426,0--7456,polity
922350327,1--119,wiley
180014422,1--4000,vintage
896849559,1--4403,how books
13512680,0--416,methuen
13540802,0--553,bantam
910651466,1--4625,guilford press
919795990,0--8266,hotsa at k arne hod torah
22335094,0--380,avon books
964583604,0--14,penguin books
493431579,0--295,smithsonian national museum of the american indian
1005669102,0--241,hamish hamilton
