F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
922464746,i,0--7897,2015,1,0,1,que publishing,que publishing
1043916676,i,1--887166,1997,1,0,1,hysteria publications,hysteria publications
1027057041,i,0--525,2018,1,0,1,random house,random house
1028605131,i,1--78353,2018,1,0,1,routledge,routledge
1082721016,i,1--4426,2007,1,0,1,university of toronto press,university of toronto press
897091453,i,1--85617,2009,1,0,1,elsevier/butterworth-heinemann,elsevier butterworth heinemann
895084928,i,1--4443,2014,1,0,1,john wiley and sons,john wiley and sons
191282820,a,0--521,2005,0,1,0,cambridge university press,cambridge university press
1078914325,i,1--910158,2014,1,0,1,goodfellow publishers,goodfellow publishers
769986905,i,92--1,2012,1,0,1,united nations publications,united nations publications
490426087,i,0--387,1998,0,1,0,springer,springer
1031863863,i,1--63215,2016,1,0,1,image comics,image comics
884594253,i,1--4988,2014,1,0,1,gideon informatics inc,gideon informatics inc
854748757,a,0--88103,1993,0,1,0,warner books,warner books
331153000,a,1--84817,2008,0,1,0,igloo,igloo
900448544,i,0--8021,2013,1,0,1,grove press,grove press
869174998,i,0--04,1985,0,1,0,allen and unwin,allen and unwin
945076169,i,0--7494,1996,0,1,0,kogan page,kogan page
922017695,i,0--14,2015,1,0,1,penguin books,penguin books
893478924,i,0--12,1980,0,1,0,academic press,academic press
947147543,i,1--4994 ;; 1--5181,2017,1,0,1,powerkids press,powerkids press
863796554,i,0--415,2014,0,1,0,routledge,routledge
803453284,a,0--14,2008,0,1,0,proquest llc,proquest llc
1013589219,i,1--85132,2018,1,0,1,arlen house,arlen house
25738809,a,0--8041,1992,0,1,0,ivy books,ivy books
952154292,i,0--7636,2017,1,0,1,bpp,bpp
904470389,a,0--7884,2008,0,1,0,heritage books,heritage books
26442582,a,0--87135,1990,0,1,0,marvel comics,marvel comics
1026475645,a,0--316,2013,0,1,0,orbit,orbit
7835268,a,0--89729,1981,0,1,0,ediciones universal,ediciones universal
1011055568,a,0--500,1995,0,1,0,thames and hudson,thames and hudson
1008569415,i,1--5447,2017,1,0,1,createspace independent publishing platform,createspace independent publishing platform
1049786123,a,0--8125,1994,0,0,1,tor,tor
945968522,i,0--472,2015,0,1,0,university of michigan press,university of michigan press
1079829109,i,1--5267,2019,1,0,1,pen and sword military,pen and sword military
905916308,i,1--78328,2015,1,0,1,packt publishing,packt publishing
1000526971,i,1--316 ;; 1--107,2018,1,0,1,cambridge university press,cambridge university press
805381059,a,0--7653,2012,0,1,0,tor,tor
1057602644,i,1--4448,2018,1,0,1,"thorpe, charnwood",thorpe charnwood
493228918,i,0--412,1994,0,1,0,chapman and hall,chapman and hall
6030875,i,0--373,1980,0,1,0,harlequin,harlequin
1020291868,i,1--5364 ;; 1--5490 ;; 1--4654,2017,1,0,1,dk publishing,dk publishing
491987408,i,0--12,2002,0,1,0,academic press,academic press
1055634836,i,0--85965,2016,1,0,1,plexus publishing limited,plexus publishing limited
946635421,i,1--305,2017,1,0,1,cengage learning,cengage learning
790604267,a,1--55850,1997,0,1,0,bob adams,bob adams
918931348,i,1--63157,2016,1,0,1,business expert press,business expert press
966796266,a,0--02,1988,0,1,0,macmillan,macmillan
1013299831,a,1--84064,2000,0,0,1,edward elgar pub,edward elgar pub
967819739,i,1--5047,2003,1,0,1,harperaudio / blackstone audio,harperaudio blackstone audio
1002300022,i,1--4833 ;; 1--4522,2017,1,0,1,sage publications inc,sage publications inc
1000198150,i,1--945566,2017,1,0,1,eyedentified publishing solutions,eyedentified publishing solutions
800832611,i,0--8135,2011,0,1,0,rutgers university press,rutgers university press
875406, ,0--684,1973,0,1,0,scribner,scribner
946229191,a,0--689 ;; 1--4424 ;; 0--553,1971,0,1,0,bantam,bantam
882263274,i,1--315,2012,1,0,1,routledge,routledge
1087374967,u,0--674,2013,0,1,0,harvard university press,harvard university press
944037917,i,0--06,2016,1,0,1,harper,harper
1050651319,i,0--9991037,2018,1,0,1,delete press,delete press
54379347,a,0--7525,2001,0,1,0,parragon,parragon
912383189,i,1--940014,2015,1,0,1,wise ink,wise ink
178133990,a,0--373,2008,0,1,0,harlequin,harlequin
46646856,a,0--312,2001,0,1,0,st. martin's griffin,st martin's griffin
1081432946,i,1--78620,2019,0,0,1,geological society,geological society
732942718,i,1--4454,2010,0,0,1,parragon,parragon
1058743534,i,1--317,2017,0,0,1,routledge,routledge
1035125245,i,1--4814,2015,0,0,1,aladdin,aladdin
