id,length,text,publisher_pro,isbn_new,year_min,year_max,record
131,1,american association of university professors,american association of university professors,0--252;1--306,2014,2014,1.0
132,1,american bar association,american bar association,1--62722;1--64105;1--61438,2012,2018,7.0
133,1,american bar association section of dispute resolution,american bar association section of dispute resolution,1--61632,2011,2011,1.0
134,1,american chemical society,american chemical society,0--8412,2013,2014,2.0
135,1,american college of obstetricians and gynecologists women's health care physicians,american college of obstetricians and gynecologists women's health care physicians,1--934984,2014,2014,1.0
136,1,american college of physicians,american college of physicians,1--938921,2015,2015,1.0
137,1,american concrete institute,american concrete institute,1--5108,2015,2015,1.0
138,1,american cooking guild,american cooking guild,0--942320,1991,1991,1.0
139,1,american enterprise institute for public policy research,american enterprise institute for public policy research,0--8447,1977,1977,1.0
140,1,american geophysical union,american geophysical union,1--118,1990,1990,1.0
141,1,american girl,american girl,0--606;1--60744;1--4287;1--60958;1--59369;1--4395;1--5182,2007,2017,2.0
142,1,american institute of aeronautics and astronautics,american institute of aeronautics and astronautics,1--62410;1--5231,2015,2015,1.0
143,1,american institute of physics,american institute of physics,1--56396,1993,1993,1.0
144,1,american legacy,american legacy,0--517,1988,1988,1.0
145,1,american library association,american library association,0--8389,2017,2017,1.0
146,1,american marketing association,american marketing association,1--5108,2017,2017,1.0
147,1,american mathematical society,american mathematical society,0--8218;1--4704,1970,2018,18.0
148,1,american medical association,american medical association,0--665,1980,1980,1.0
149,1,american national red cross,american national red cross,0--86536,1983,1983,1.0
150,1,american planning association,american planning association,1--884829;1--932364,2004,2008,2.0
151,1,american planning association planners press,american planning association planners press,1--61190,2014,2014,1.0
152,1,american political science association c 2018,american political science association c 2018,1--878147,2018,2018,1.0
153,1,american psychological association,american psychological association,1--55798;1--4338,1996,2018,8.0
154,1,american red cross,american red cross,0--86536,1989,1989,1.0
155,1,american school of needlework,american school of needlework,0--88195,1988,1988,1.0
156,1,american society for engineering management,american society for engineering management,1--61738,2010,2010,1.0
157,1,american society of civil engineers,american society of civil engineers,0--87262;0--7844,1990,2017,6.0
158,1,american society of plumbing engineers,american society of plumbing engineers,1--68015;1--891255;1--61344,2012,2012,1.0
159,1,american sunday school union,american sunday school union,0--665,1981,1981,1.0
160,1,american trust publications,american trust publications,0--89259,1999,1999,1.0
161,1,american university,american university,1--321;1--303;1--339,2013,2015,4.0
162,1,american university in cairo press,american university in cairo press,1--61797,2014,2014,1.0
163,1,american water works association,american water works association,1--62576,2018,2018,1.0
164,1,amherst media,amherst media,1--60895,2015,2015,1.0
165,1,amicus amicus ink,amicus amicus ink,1--68151,2018,2018,1.0
166,1,amicus high interest,amicus high interest,1--60753,2013,2013,1.0
167,1,amicus illustrated,amicus illustrated,1--68152;1--68151,2019,2019,1.0
168,1,amicus ink,amicus ink,1--68152,2018,2018,1.0
169,1,amika press,amika press,1--937484,2015,2015,1.0
170,1,amilus,amilus,1--886212,2013,2013,1.0
171,1,aminso,aminso,0--9837025,2012,2012,1.0
172,1,ampersand,ampersand,0--692,2015,2015,1.0
173,1,amphoto,amphoto,0--8174,1978,1978,1.0
174,1,amplify,amplify,1--64089,2018,2018,1.0
175,1,ams chelsea pub,ams chelsea pub,0--8218,2007,2007,1.0
176,1,amsco,amsco,0--87720,1980,1980,1.0
177,1,amsterdam university press,amsterdam university press,90--8964,2016,2016,1.0
178,1,amulet books,amulet books,1--4197,2016,2016,1.0
179,1,amy linnabary,amy linnabary,1--5237,2017,2017,1.0
180,1,anaheim pub co,anaheim pub co,0--88236,1979,1979,1.0
181,1,anchor books,anchor books,0--307;0--385;1--299,1962,2011,6.0
182,1,anchor press doubleday,anchor press doubleday,0--385,1977,1977,1.0
183,1,and c black,and c black,0--7136;0--393;1--4081,1986,2008,3.0
184,1,andersen press,andersen press,1--84939;0--86264;1--78344;1--84270,1996,2018,5.0
185,1,andersen press ltd,andersen press ltd,1--78344,2018,2018,1.0
186,1,andrew mcmeel publishing,andrew mcmeel publishing,1--4494,2018,2018,1.0
187,1,andrews mcmeel publishing,andrews mcmeel publishing,1--4494,2014,2018,3.0
188,1,andrews mcmeel publishing llc,andrews mcmeel publishing llc,0--7407,2008,2008,1.0
189,1,angelic knight press,angelic knight press,1--941987,2015,2015,1.0
190,1,angelico press,angelico press,1--62138,2015,2015,1.0
191,1,angry robot,angry robot,0--85766,2014,2017,2.0
192,1,angus and robertson,angus and robertson,0--207,1981,1982,2.0
193,1,angus and robertson publishers,angus and robertson publishers,0--207,1982,1982,1.0
194,1,ann arbor science publishers,ann arbor science publishers,0--250,1974,1974,1.0
195,1,ann charles,ann charles,1--940364,2016,2016,1.0
196,1,ann m hess,ann m hess,1--4991,2014,2014,1.0
197,1,annick press,annick press,1--55451,2015,2015,1.0
198,1,annick press ltd,annick press ltd,1--55037,2001,2001,1.0
199,1,anthem press,anthem press,0--85728;1--78308,2013,2016,4.0
200,1,anthroposophic press,anthroposophic press,0--88010,1984,1984,1.0
201,1,antique collectors' club,antique collectors' club,1--85149,2003,2003,1.0
202,1,aorn,aorn,1--888460,2015,2015,1.0
203,1,aperture,aperture,1--59711,2017,2017,1.0
204,1,applause theatre books,applause theatre books,1--55783,2000,2000,1.0
205,1,apple academic press,apple academic press,1--77188;1--351;1--926895;1--315,2014,2017,5.0
206,1,applied research and design,applied research and design,1--940743,2017,2017,1.0
207,1,appraisal institute,appraisal institute,1--935328,2013,2013,1.0
208,1,apress,apress,1--4302;1--4842;1--59059,2008,2019,19.0
209,1,april barker,april barker,0--9924032,2011,2011,1.0
210,1,arbor house,arbor house,0--87795,1985,1985,1.0
211,1,arbordale publishing,arbordale publishing,1--60718,2018,2018,1.0
212,1,arc books,arc books,0--668,1971,1971,1.0
213,1,arcade publishing,arcade publishing,1--62872,2017,2017,2.0
214,1,arcadia,arcadia,0--7385,1999,1999,1.0
215,1,arcadia books,arcadia books,1--900850,1998,1998,1.0
216,1,arcadia publishing,arcadia publishing,1--4671;0--7385,2010,2015,4.0
217,1,archaeopress,archaeopress,1--4073;1--78491,2010,2015,7.0
218,1,archaeopress publishing ltd,archaeopress publishing ltd,1--78491,2016,2017,4.0
219,1,archie comic publications,archie comic publications,1--68255,2017,2017,1.0
220,1,archie comic publications inc,archie comic publications inc,1--68255,2018,2018,2.0
221,1,architectural association,architectural association,1--907896,2015,2015,1.0
222,1,archon books,archon books,0--208,1968,1968,1.0
223,1,archway paperback,archway paperback,1--4814,2013,2013,1.0
224,1,arco pub co,arco pub co,0--668,1977,1977,1.0
