F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
905916607,i,1--315 ;; 1--317,1--315,2015,1,0,1,routledge,1
905559398,i,1--62517,1--62517,1988,1,0,1,nyla publishing,1
556226076, ,,,1963,0,1,0,j. murray,1
579571266, ,,,1968,0,1,0,greenwood press,1
858058020,i,,,2012,1,0,1,"proquest, umi dissertation publishing",1
1089396075,i,,,1971,0,0,1,herder and herder,1
19676591,a,0--451,0--451,1989,0,1,0,new american library,1
1008875963,i,0--691,0--691,1970,1,0,1,princeton university press,1
238858516,i,,,1977,0,1,0,national textbook co,1
865271033,a,1--59413,1--59413,2008,0,1,0,gale cengage learning,1
880912664,i,4--431,4--431,2013,1,0,1,springer,1
952156570,i,1--78699,1--78699,2017,0,0,1,zed books ltd,1
921314526,a,1--4242,1--4242,2014,0,1,0,penguin group,1
1056476300,i,1--59659 ;; 1--7225,1--7225,2011,1,0,1,burmanbooks inc,1
7372833, ,,,1971,0,1,0,university microfilms,1
881209626,a,1--118,1--118,2014,0,1,0,wiley,1
958279729,i,0--545,0--545,2015,1,0,1,scholastic inc,1
757580009,a,,,1994,0,1,0,university microfilms international,1
768196498,a,0--8220,0--8220,1993,0,1,0,cliff notes,1
1038015517,i,,,2017,1,0,1,university of texas at arlington,1
1038367019,i,1--7187,1--7187,2018,1,0,1,suzanne brockmann books,1
956624991,i,1--4847,1--4847,2017,1,0,1,marvel,1
1027998137,i,0--85793,0--85793,2012,1,0,1,edward elgar,1
300379099,a,,,2000,0,1,0,american concrete institute,1
28400908,a,,,1965,0,1,0,macmillan,1
891397004,i,0--9886922,0--9886922,2014,1,0,1,etruscan press,1
904408752,i,,,2014,1,0,1,mississippi state university extension service,1
909376019,i,0--444,0--444,2015,0,1,0,elsevier,1
931894517,i,,,1993,1,0,1,karl hammer?,1
40488060,a,,,1988,0,1,0,psu center for technology transfer,1
8041135,a,,,1979,0,1,0,national association of broadcasters,1
816690489,i,,,2008,0,1,0,periodicals service co,1
1097123764,i,1--4398,1--4398,2018,1,0,1,crc press,1
762275194,a,0--88029,0--88029,1995,0,1,0,barnes and noble books,1
1059687661,i,1--55833,1--55833,2018,1,0,1,national catholic educational association,1
1031916244,i,1--351,1--351,2018,0,0,1,routledge,1
904715618,i,1--907804 ;; 0--912114,1--907804,2015,1,0,1,frick collection,1
408587160,a,0--89134,0--89134,1991,0,1,0,north light books,1
924292109,i,0--19,0--19,2015,0,1,0,oxford university press,1
441011397,i,0--345,0--345,1995,0,1,0,ballantine books,1
1089864894,i,1--119,1--119,2019,1,0,1,john wiley and sons inc,1
606526039,i,,,1978,0,1,0,penguin books,1
1040020057,a,,,2003,0,1,0,barnes and noble books,1
870919055,i,1--78092,1--78092,2014,1,0,1,mx publishing,1
1005664544,i,,,1960,1,0,1,uncle dudley's cooking recipes,1
1046566672,i,1--4822,1--4822,2016,1,0,1,crc press,1
908385015,i,0--230,0--230,2012,0,1,0,palgrave macmillan,1
154174710,a,0--7278,0--7278,1997,0,1,0,severn house,1
19637049,a,1--55817,1--55817,1988,0,1,0,pinnacle books,1
